,area,total,men,women,household,date
0,大阪市,2703613,1395785,1307828,1375855,2016-12-01
1,北区,126285,65246,61039,75865,2016-12-01
2,都島区,105907,54811,51096,52843,2016-12-01
3,福島区,73584,38853,34731,38396,2016-12-01
4,此花区,66343,33908,32435,30945,2016-12-01
5,中央区,95553,50972,44581,60843,2016-12-01
6,西区,96008,50785,45223,54389,2016-12-01
7,港区,81537,41659,39878,40497,2016-12-01
8,大正区,64599,33084,31515,29346,2016-12-01
9,天王寺区,77424,41441,35983,38980,2016-12-01
10,浪速区,71387,35150,36237,48998,2016-12-01
11,西淀川区,95453,48516,46937,43451,2016-12-01
12,淀川区,177930,89656,88274,96428,2016-12-01
13,東淀川区,175491,89120,86371,94030,2016-12-01
14,東成区,80876,42188,38688,40454,2016-12-01
15,生野区,129907,67382,62525,64600,2016-12-01
16,旭区,91346,47833,43513,43897,2016-12-01
17,城東区,165515,86730,78785,77592,2016-12-01
18,鶴見区,111625,58157,53468,46795,2016-12-01
19,阿倍野区,108373,58395,49978,50825,2016-12-01
20,住之江区,122202,63492,58710,57495,2016-12-01
21,住吉区,153779,81954,71825,71999,2016-12-01
22,東住吉区,126144,66740,59404,58305,2016-12-01
23,平野区,195608,102922,92686,89759,2016-12-01
24,西成区,110737,46791,63946,69123,2016-12-01
25,大阪市,2703488,1395634,1307854,1375567,2016-11-01
26,北区,126131,65169,60962,75831,2016-11-01
27,都島区,105869,54796,51073,52817,2016-11-01
28,福島区,73430,38783,34647,38339,2016-11-01
29,此花区,66452,33982,32470,30962,2016-11-01
30,中央区,95484,50897,44587,60788,2016-11-01
31,西区,95828,50683,45145,54287,2016-11-01
32,港区,81568,41695,39873,40513,2016-11-01
33,大正区,64618,33093,31525,29318,2016-11-01
34,天王寺区,77325,41370,35955,38955,2016-11-01
35,浪速区,71353,35130,36223,48990,2016-11-01
36,西淀川区,95364,48466,46898,43378,2016-11-01
37,淀川区,177925,89623,88302,96445,2016-11-01
38,東淀川区,175625,89189,86436,94047,2016-11-01
39,東成区,80847,42215,38632,40406,2016-11-01
40,生野区,130004,67408,62596,64636,2016-11-01
41,旭区,91449,47890,43559,43950,2016-11-01
42,城東区,165467,86679,78788,77584,2016-11-01
43,鶴見区,111530,58094,53436,46754,2016-11-01
44,阿倍野区,108400,58414,49986,50848,2016-11-01
45,住之江区,122247,63515,58732,57469,2016-11-01
46,住吉区,153803,81990,71813,72048,2016-11-01
47,東住吉区,126212,66769,59443,58295,2016-11-01
48,平野区,195675,102934,92741,89749,2016-11-01
49,西成区,110882,46850,64032,69158,2016-11-01
50,大阪市,2702033,1394871,1307162,1373670,2016-10-01
51,北区,125983,65102,60881,75756,2016-10-01
52,都島区,105779,54741,51038,52714,2016-10-01
53,福島区,73352,38736,34616,38281,2016-10-01
54,此花区,66421,33960,32461,30937,2016-10-01
55,中央区,95457,50901,44556,60775,2016-10-01
56,西区,95522,50492,45030,54104,2016-10-01
57,港区,81551,41722,39829,40448,2016-10-01
58,大正区,64672,33112,31560,29338,2016-10-01
59,天王寺区,77290,41358,35932,38938,2016-10-01
60,浪速区,71001,34941,36060,48645,2016-10-01
61,西淀川区,95374,48457,46917,43358,2016-10-01
62,淀川区,177868,89627,88241,96394,2016-10-01
63,東淀川区,175631,89187,86444,93936,2016-10-01
64,東成区,80733,42160,38573,40262,2016-10-01
65,生野区,129838,67342,62496,64388,2016-10-01
66,旭区,91458,47900,43558,43909,2016-10-01
67,城東区,165360,86649,78711,77497,2016-10-01
68,鶴見区,111575,58120,53455,46732,2016-10-01
69,阿倍野区,108193,58278,49915,50692,2016-10-01
70,住之江区,122195,63480,58715,57408,2016-10-01
71,住吉区,153869,82013,71856,72034,2016-10-01
72,東住吉区,126231,66749,59482,58262,2016-10-01
73,平野区,195755,103003,92752,89736,2016-10-01
74,西成区,110925,46841,64084,69126,2016-10-01
75,大阪市,2701728,1394620,1307108,1373095,2016-09-01
76,北区,125987,65142,60845,75764,2016-09-01
77,都島区,105565,54618,50947,52577,2016-09-01
78,福島区,73331,38724,34607,38286,2016-09-01
79,此花区,66336,33912,32424,30910,2016-09-01
80,中央区,95381,50822,44559,60749,2016-09-01
81,西区,95403,50404,44999,54051,2016-09-01
82,港区,81614,41733,39881,40466,2016-09-01
83,大正区,64641,33098,31543,29326,2016-09-01
84,天王寺区,77247,41338,35909,38930,2016-09-01
85,浪速区,71010,34908,36102,48653,2016-09-01
86,西淀川区,95409,48479,46930,43351,2016-09-01
87,淀川区,177746,89568,88178,96285,2016-09-01
88,東淀川区,175646,89208,86438,93850,2016-09-01
89,東成区,80834,42205,38629,40317,2016-09-01
90,生野区,129824,67355,62469,64308,2016-09-01
91,旭区,91452,47890,43562,43863,2016-09-01
92,城東区,165374,86657,78717,77477,2016-09-01
93,鶴見区,111582,58139,53443,46722,2016-09-01
94,阿倍野区,108188,58289,49899,50690,2016-09-01
95,住之江区,122198,63485,58713,57391,2016-09-01
96,住吉区,153935,82055,71880,72069,2016-09-01
97,東住吉区,126261,66745,59516,58282,2016-09-01
98,平野区,195770,102970,92800,89657,2016-09-01
99,西成区,110994,46876,64118,69121,2016-09-01
100,大阪市,2701880,1394844,1307036,1372136,2016-08-01
101,北区,125887,65083,60804,75659,2016-08-01
102,都島区,105518,54602,50916,52490,2016-08-01
103,福島区,73343,38745,34598,38276,2016-08-01
104,此花区,66350,33917,32433,30882,2016-08-01
105,中央区,95357,50833,44524,60687,2016-08-01
106,西区,95264,50343,44921,54011,2016-08-01
107,港区,81670,41787,39883,40446,2016-08-01
108,大正区,64681,33110,31571,29296,2016-08-01
109,天王寺区,77128,41252,35876,38873,2016-08-01
110,浪速区,71035,34939,36096,48630,2016-08-01
111,西淀川区,95455,48535,46920,43318,2016-08-01
112,淀川区,177710,89579,88131,96185,2016-08-01
113,東淀川区,175650,89203,86447,93750,2016-08-01
114,東成区,80806,42185,38621,40224,2016-08-01
115,生野区,129915,67380,62535,64347,2016-08-01
116,旭区,91447,47867,43580,43854,2016-08-01
117,城東区,165332,86634,78698,77445,2016-08-01
118,鶴見区,111550,58151,53399,46669,2016-08-01
119,阿倍野区,108210,58325,49885,50670,2016-08-01
120,住之江区,122224,63519,58705,57331,2016-08-01
121,住吉区,153968,82082,71886,72037,2016-08-01
122,東住吉区,126290,66782,59508,58251,2016-08-01
123,平野区,195951,103056,92895,89638,2016-08-01
124,西成区,111139,46935,64204,69167,2016-08-01
125,大阪市,2700732,1394245,1306487,1371253,2016-07-01
126,北区,125666,64989,60677,75561,2016-07-01
127,都島区,105425,54535,50890,52430,2016-07-01
128,福島区,73266,38727,34539,38236,2016-07-01
129,此花区,66357,33906,32451,30880,2016-07-01
130,中央区,95160,50736,44424,60614,2016-07-01
131,西区,95050,50230,44820,53896,2016-07-01
132,港区,81685,41786,39899,40455,2016-07-01
133,大正区,64685,33119,31566,29301,2016-07-01
134,天王寺区,77029,41215,35814,38831,2016-07-01
135,浪速区,70934,34858,36076,48590,2016-07-01
136,西淀川区,95413,48530,46883,43271,2016-07-01
137,淀川区,177656,89557,88099,96134,2016-07-01
138,東淀川区,175714,89240,86474,93805,2016-07-01
139,東成区,80732,42157,38575,40165,2016-07-01
140,生野区,129939,67371,62568,64330,2016-07-01
141,旭区,91516,47903,43613,43879,2016-07-01
142,城東区,165254,86608,78646,77374,2016-07-01
143,鶴見区,111479,58098,53381,46638,2016-07-01
144,阿倍野区,108226,58325,49901,50669,2016-07-01
145,住之江区,122205,63506,58699,57263,2016-07-01
146,住吉区,154029,82081,71948,72084,2016-07-01
147,東住吉区,126212,66769,59443,58183,2016-07-01
148,平野区,195990,103070,92920,89549,2016-07-01
149,西成区,111110,46929,64181,69115,2016-07-01
150,大阪市,2699636,1393755,1305881,1369985,2016-06-01
151,北区,125541,64920,60621,75524,2016-06-01
152,都島区,105342,54495,50847,52351,2016-06-01
153,福島区,73178,38686,34492,38151,2016-06-01
154,此花区,66430,33960,32470,30884,2016-06-01
155,中央区,95024,50645,44379,60543,2016-06-01
156,西区,94901,50192,44709,53812,2016-06-01
157,港区,81779,41845,39934,40471,2016-06-01
158,大正区,64677,33126,31551,29267,2016-06-01
159,天王寺区,76924,41167,35757,38788,2016-06-01
160,浪速区,70961,34892,36069,48603,2016-06-01
161,西淀川区,95372,48501,46871,43217,2016-06-01
162,淀川区,177480,89521,87959,95999,2016-06-01
163,東淀川区,175751,89239,86512,93794,2016-06-01
164,東成区,80668,42116,38552,40079,2016-06-01
165,生野区,129960,67399,62561,64286,2016-06-01
166,旭区,91512,47884,43628,43855,2016-06-01
167,城東区,165110,86548,78562,77276,2016-06-01
168,鶴見区,111465,58086,53379,46614,2016-06-01
169,阿倍野区,108140,58285,49855,50600,2016-06-01
170,住之江区,122295,63536,58759,57230,2016-06-01
171,住吉区,153861,81965,71896,71923,2016-06-01
172,東住吉区,126149,66736,59413,58119,2016-06-01
173,平野区,195933,103044,92889,89447,2016-06-01
174,西成区,111183,46967,64216,69152,2016-06-01
175,大阪市,2699164,1393647,1305517,1368603,2016-05-01
176,北区,125490,64900,60590,75480,2016-05-01
177,都島区,105248,54458,50790,52281,2016-05-01
178,福島区,73038,38635,34403,38033,2016-05-01
179,此花区,66428,33964,32464,30860,2016-05-01
180,中央区,94857,50552,44305,60389,2016-05-01
181,西区,94707,50087,44620,53691,2016-05-01
182,港区,81822,41851,39971,40469,2016-05-01
183,大正区,64683,33134,31549,29225,2016-05-01
184,天王寺区,76734,41065,35669,38707,2016-05-01
185,浪速区,70951,34896,36055,48560,2016-05-01
186,西淀川区,95389,48492,46897,43217,2016-05-01
187,淀川区,177195,89445,87750,95720,2016-05-01
188,東淀川区,175871,89310,86561,93749,2016-05-01
189,東成区,80676,42123,38553,40040,2016-05-01
190,生野区,129964,67378,62586,64196,2016-05-01
191,旭区,91574,47925,43649,43853,2016-05-01
192,城東区,165125,86531,78594,77233,2016-05-01
193,鶴見区,111468,58076,53392,46554,2016-05-01
194,阿倍野区,108223,58359,49864,50599,2016-05-01
195,住之江区,122390,63604,58786,57196,2016-05-01
196,住吉区,153860,81984,71876,71885,2016-05-01
197,東住吉区,126229,66776,59453,58102,2016-05-01
198,平野区,195961,103076,92885,89373,2016-05-01
199,西成区,111281,47026,64255,69191,2016-05-01
200,大阪市,2694610,1391293,1303317,1363598,2016-04-01
201,北区,125072,64674,60398,75177,2016-04-01
202,都島区,105013,54384,50629,52068,2016-04-01
203,福島区,72960,38592,34368,37958,2016-04-01
204,此花区,66445,33982,32463,30800,2016-04-01
205,中央区,94365,50282,44083,60072,2016-04-01
206,西区,93937,49684,44253,53204,2016-04-01
207,港区,81878,41878,40000,40435,2016-04-01
208,大正区,64738,33173,31565,29193,2016-04-01
209,天王寺区,76422,40889,35533,38505,2016-04-01
210,浪速区,70715,34738,35977,48314,2016-04-01
