,area,total,men,women,household,date
0,大阪市,2727136,1410490,1316646,1416202,2018-12-01
1,北区,133636,68980,64656,80664,2018-12-01
2,都島区,106840,55404,51436,54479,2018-12-01
3,福島区,76114,40062,36052,40364,2018-12-01
4,此花区,65928,33741,32187,31555,2018-12-01
5,中央区,98407,52513,45894,62915,2018-12-01
6,西区,100757,53540,47217,58022,2018-12-01
7,港区,81017,41526,39491,41078,2018-12-01
8,大正区,63574,32598,30976,29643,2018-12-01
9,天王寺区,79326,42519,36807,40195,2018-12-01
10,浪速区,73142,36142,37000,50801,2018-12-01
11,西淀川区,95825,48802,47023,44841,2018-12-01
12,淀川区,180987,91142,89845,100006,2018-12-01
13,東淀川区,176122,89589,86533,96438,2018-12-01
14,東成区,83035,43478,39557,43132,2018-12-01
15,生野区,129638,67294,62344,66429,2018-12-01
16,旭区,90983,47779,43204,44556,2018-12-01
17,城東区,166937,87632,79305,79612,2018-12-01
18,鶴見区,111480,58257,53223,47480,2018-12-01
19,阿倍野区,109221,58924,50297,51711,2018-12-01
20,住之江区,121253,63113,58140,58353,2018-12-01
21,住吉区,153439,81927,71512,73321,2018-12-01
22,東住吉区,125859,66857,59002,59374,2018-12-01
23,平野区,193892,102228,91664,91416,2018-12-01
24,西成区,109724,46443,63281,69817,2018-12-01
25,大阪市,2726579,1410126,1316453,1415735,2018-11-01
26,北区,133462,68874,64588,80615,2018-11-01
27,都島区,106861,55421,51440,54483,2018-11-01
28,福島区,76006,40025,35981,40293,2018-11-01
29,此花区,65897,33714,32183,31532,2018-11-01
30,中央区,98265,52441,45824,62889,2018-11-01
31,西区,100625,53447,47178,57974,2018-11-01
32,港区,81073,41576,39497,41078,2018-11-01
33,大正区,63654,32636,31018,29658,2018-11-01
34,天王寺区,79273,42472,36801,40142,2018-11-01
35,浪速区,73234,36210,37024,50882,2018-11-01
36,西淀川区,95865,48809,47056,44852,2018-11-01
37,淀川区,180976,91140,89836,100003,2018-11-01
38,東淀川区,176022,89546,86476,96382,2018-11-01
39,東成区,82929,43464,39465,43046,2018-11-01
