,area,total,men,women,household,date
0,大阪市,2598720,1275564,1323156,1116638,1997-01-01
1,北区,86480,41416,45064,40708,1997-01-01
2,都島区,98133,48122,50011,41985,1997-01-01
3,福島区,54784,26249,28535,23248,1997-01-01
4,此花区,67699,33875,33824,27343,1997-01-01
5,中央区,53094,24464,28630,26104,1997-01-01
6,西区,59361,28367,30994,26659,1997-01-01
7,港区,89249,44415,44834,37140,1997-01-01
8,大正区,77489,38804,38685,30664,1997-01-01
9,天王寺区,56063,26076,29987,24258,1997-01-01
10,浪速区,49124,25116,24008,26714,1997-01-01
11,西淀川区,90934,45438,45496,36284,1997-01-01
12,淀川区,161636,80727,80909,74881,1997-01-01
13,東淀川区,185478,93123,92355,85662,1997-01-01
14,東成区,78259,37518,40741,32753,1997-01-01
15,生野区,147591,70560,77031,58642,1997-01-01
16,旭区,102194,49401,52793,43979,1997-01-01
17,城東区,155639,75333,80306,64919,1997-01-01
18,鶴見区,98709,48653,50056,36354,1997-01-01
19,阿倍野区,102600,47937,54663,43511,1997-01-01
20,住之江区,138918,67601,71317,53227,1997-01-01
21,住吉区,162993,77947,85046,70950,1997-01-01
22,東住吉区,141188,67586,73602,58857,1997-01-01
23,平野区,200781,97546,103235,77709,1997-01-01
24,西成区,140324,79290,61034,74087,1997-01-01
25,大阪市,2596877,1274607,1322270,1116562,1997-02-01
26,北区,86649,41505,45144,40835,1997-02-01
27,都島区,97998,48056,49942,41930,1997-02-01
28,福島区,54674,26192,28482,23206,1997-02-01
29,此花区,67603,33818,33785,27297,1997-02-01
30,中央区,53070,24456,28614,26112,1997-02-01
31,西区,59398,28381,31017,26664,1997-02-01
32,港区,89127,44348,44779,37121,1997-02-01
33,大正区,77409,38760,38649,30666,1997-02-01
34,天王寺区,56050,26075,29975,24273,1997-02-01
35,浪速区,49068,25097,23971,26738,1997-02-01
36,西淀川区,90870,45405,45465,36277,1997-02-01
37,淀川区,161503,80661,80842,74894,1997-02-01
