,area,total,men,women,household,date
0,大阪市,2608726,1276257,1332469,1189649,2002-01-01
1,北区,93531,45179,48352,48810,2002-01-01
2,都島区,98469,48231,50238,44273,2002-01-01
3,福島区,56500,26864,29636,26047,2002-01-01
4,此花区,64682,31857,32825,27230,2002-01-01
5,中央区,58287,27010,31277,31930,2002-01-01
6,西区,65626,31191,34435,32943,2002-01-01
7,港区,86301,42545,43756,37946,2002-01-01
8,大正区,74171,36890,37281,30812,2002-01-01
9,天王寺区,59740,27988,31752,27570,2002-01-01
10,浪速区,51587,26717,24870,31046,2002-01-01
11,西淀川区,93570,46600,46970,39320,2002-01-01
12,淀川区,164877,82161,82716,81985,2002-01-01
13,東淀川区,182835,91200,91635,88961,2002-01-01
14,東成区,78554,37635,40919,34743,2002-01-01
15,生野区,141420,67474,73946,59916,2002-01-01
16,旭区,98307,47354,50953,44158,2002-01-01
17,城東区,158432,76173,82259,69173,2002-01-01
18,鶴見区,103812,50753,53059,40032,2002-01-01
19,阿倍野区,105013,48765,56248,46210,2002-01-01
20,住之江区,134482,65158,69324,54513,2002-01-01
21,住吉区,160782,76132,84650,72602,2002-01-01
22,東住吉区,138553,65933,72620,60405,2002-01-01
23,平野区,202318,97495,104823,82032,2002-01-01
24,西成区,136877,78952,57925,76992,2002-01-01
25,大阪市,2608611,1276089,1332522,1190089,2002-02-01
26,北区,93418,45123,48295,48761,2002-02-01
27,都島区,98426,48204,50222,44274,2002-02-01
28,福島区,56517,26870,29647,26086,2002-02-01
29,此花区,64929,31969,32960,27372,2002-02-01
30,中央区,58484,27101,31383,32039,2002-02-01
31,西区,65900,31321,34579,33142,2002-02-01
32,港区,86002,42390,43612,37842,2002-02-01
33,大正区,74074,36836,37238,30785,2002-02-01
34,天王寺区,59813,28017,31796,27602,2002-02-01
35,浪速区,51593,26712,24881,31120,2002-02-01
36,西淀川区,93476,46547,46929,39254,2002-02-01
37,淀川区,165230,82324,82906,82171,2002-02-01
38,東淀川区,182746,91153,91593,88937,2002-02-01
39,東成区,78574,37639,40935,34755,2002-02-01
40,生野区,141232,67384,73848,59894,2002-02-01
41,旭区,98225,47307,50918,44066,2002-02-01
42,城東区,158422,76160,82262,69186,2002-02-01
43,鶴見区,103807,50739,53068,40029,2002-02-01
44,阿倍野区,105009,48764,56245,46183,2002-02-01
45,住之江区,134398,65108,69290,54441,2002-02-01
46,住吉区,160735,76099,84636,72584,2002-02-01
47,東住吉区,138472,65889,72583,60411,2002-02-01
48,平野区,202226,97432,104794,82024,2002-02-01
49,西成区,136903,79001,57902,77131,2002-02-01
50,大阪市,2608804,1276058,1332746,1190959,2002-03-01
51,北区,93435,45129,48306,48804,2002-03-01
52,都島区,98350,48161,50189,44256,2002-03-01
53,福島区,56543,26881,29662,26103,2002-03-01
54,此花区,64899,31944,32955,27377,2002-03-01
55,中央区,58522,27119,31403,32139,2002-03-01
56,西区,65951,31345,34606,33259,2002-03-01
57,港区,86017,42391,43626,37910,2002-03-01
58,大正区,74011,36798,37213,30799,2002-03-01
59,天王寺区,59932,28068,31864,27636,2002-03-01
60,浪速区,51556,26685,24871,31175,2002-03-01
61,西淀川区,93560,46582,46978,39259,2002-03-01
62,淀川区,165367,82379,82988,82145,2002-03-01
63,東淀川区,182821,91189,91632,89005,2002-03-01
64,東成区,78498,37596,40902,34760,2002-03-01
