,area,total,men,women,household,date
0,大阪市,2595034,1273117,1321917,1130813,1998-01-01
1,北区,87510,42012,45498,42141,1998-01-01
2,都島区,97905,48019,49886,42374,1998-01-01
3,福島区,54877,26247,28630,23699,1998-01-01
4,此花区,66638,33245,33393,27161,1998-01-01
5,中央区,53049,24481,28568,26662,1998-01-01
6,西区,59419,28354,31065,27136,1998-01-01
7,港区,88534,43977,44557,37406,1998-01-01
8,大正区,76626,38327,38299,30770,1998-01-01
9,天王寺区,56300,26255,30045,24821,1998-01-01
10,浪速区,49867,25613,24254,27781,1998-01-01
11,西淀川区,91501,45707,45794,37063,1998-01-01
12,淀川区,161219,80523,80696,75909,1998-01-01
13,東淀川区,184756,92607,92149,86452,1998-01-01
14,東成区,78375,37591,40784,33356,1998-01-01
15,生野区,146155,69835,76320,58949,1998-01-01
16,旭区,101275,48943,52332,44049,1998-01-01
17,城東区,156603,75699,80904,65938,1998-01-01
18,鶴見区,99559,49010,50549,37134,1998-01-01
19,阿倍野区,103232,48150,55082,44293,1998-01-01
20,住之江区,138315,67269,71046,53742,1998-01-01
21,住吉区,162190,77403,84787,71236,1998-01-01
22,東住吉区,140480,67161,73319,59207,1998-01-01
23,平野区,201462,97740,103722,79065,1998-01-01
24,西成区,139187,78949,60238,74469,1998-01-01
25,大阪市,2593807,1272460,1321347,1130763,1998-02-01
26,北区,87453,41993,45460,42165,1998-02-01
27,都島区,97879,48007,49872,42411,1998-02-01
28,福島区,54888,26248,28640,23719,1998-02-01
29,此花区,66528,33181,33347,27101,1998-02-01
30,中央区,52923,24426,28497,26667,1998-02-01
31,西区,59420,28351,31069,27145,1998-02-01
32,港区,88492,43949,44543,37419,1998-02-01
33,大正区,76604,38312,38292,30767,1998-02-01
34,天王寺区,56334,26277,30057,24806,1998-02-01
35,浪速区,49882,25631,24251,27787,1998-02-01
36,西淀川区,91505,45708,45797,37114,1998-02-01
37,淀川区,161055,80441,80614,75863,1998-02-01
38,東淀川区,184728,92580,92148,86442,1998-02-01
39,東成区,78395,37602,40793,33410,1998-02-01
40,生野区,145989,69753,76236,58875,1998-02-01
41,旭区,101179,48895,52284,44013,1998-02-01
42,城東区,156532,75656,80876,65951,1998-02-01
43,鶴見区,99559,49005,50554,37180,1998-02-01
44,阿倍野区,103233,48143,55090,44310,1998-02-01
45,住之江区,138301,67259,71042,53760,1998-02-01
46,住吉区,162182,77385,84797,71230,1998-02-01
47,東住吉区,140355,67095,73260,59192,1998-02-01
48,平野区,201375,97686,103689,79060,1998-02-01
49,西成区,139016,78877,60139,74376,1998-02-01
50,大阪市,2592477,1271768,1320709,1131037,1998-03-01
51,北区,87580,42063,45517,42222,1998-03-01
52,都島区,97815,47977,49838,42441,1998-03-01
53,福島区,54836,26220,28616,23715,1998-03-01
54,此花区,66449,33134,33315,27077,1998-03-01
55,中央区,52955,24444,28511,26637,1998-03-01
56,西区,59383,28330,31053,27138,1998-03-01
57,港区,88408,43900,44508,37400,1998-03-01
58,大正区,76534,38273,38261,30771,1998-03-01
59,天王寺区,56319,26275,30044,24802,1998-03-01
60,浪速区,49903,25652,24251,27906,1998-03-01
61,西淀川区,91491,45699,45792,37153,1998-03-01
62,淀川区,160969,80399,80570,75917,1998-03-01
63,東淀川区,184654,92531,92123,86477,1998-03-01
64,東成区,78340,37578,40762,33380,1998-03-01
65,生野区,145833,69675,76158,58854,1998-03-01
66,旭区,101048,48831,52217,43989,1998-03-01
67,城東区,156602,75681,80921,66046,1998-03-01
68,鶴見区,99517,48979,50538,37204,1998-03-01
69,阿倍野区,103082,48066,55016,44272,1998-03-01
70,住之江区,138153,67184,70969,53745,1998-03-01
71,住吉区,162108,77337,84771,71227,1998-03-01
72,東住吉区,140245,67035,73210,59179,1998-03-01
73,平野区,201296,97637,103659,79138,1998-03-01
74,西成区,138957,78868,60089,74347,1998-03-01
75,大阪市,2590364,1270668,1319696,1133220,1998-04-01
76,北区,88153,42347,45806,42641,1998-04-01
77,都島区,97495,47821,49674,42454,1998-04-01
78,福島区,54726,26163,28563,23770,1998-04-01
79,此花区,66276,33039,33237,27073,1998-04-01
80,中央区,53162,24543,28619,26857,1998-04-01
81,西区,59391,28331,31060,27237,1998-04-01
82,港区,88343,43861,44482,37504,1998-04-01
83,大正区,76461,38233,38228,30770,1998-04-01
84,天王寺区,56236,26242,29994,24850,1998-04-01
85,浪速区,49852,25635,24217,27935,1998-04-01
86,西淀川区,91369,45637,45732,37172,1998-04-01
87,淀川区,161040,80434,80606,76292,1998-04-01
88,東淀川区,184283,92332,91951,86601,1998-04-01
89,東成区,78444,37629,40815,33540,1998-04-01
90,生野区,145598,69559,76039,58943,1998-04-01
91,旭区,100847,48732,52115,43983,1998-04-01
92,城東区,156675,75708,80967,66312,1998-04-01
93,鶴見区,99615,49022,50593,37308,1998-04-01
94,阿倍野区,102872,47961,54911,44186,1998-04-01
95,住之江区,137850,67033,70817,53750,1998-04-01
96,住吉区,161709,77133,84576,71186,1998-04-01
97,東住吉区,140184,66998,73186,59252,1998-04-01
98,平野区,201014,97488,103526,79179,1998-04-01
99,西成区,138769,78787,59982,74425,1998-04-01
100,大阪市,2594136,1272460,1321676,1138590,1998-05-01
101,北区,88593,42567,46026,43101,1998-05-01
102,都島区,97510,47829,49681,42580,1998-05-01
103,福島区,54871,26229,28642,23916,1998-05-01
104,此花区,66385,33085,33300,27217,1998-05-01
105,中央区,53279,24600,28679,27088,1998-05-01
106,西区,59711,28480,31231,27473,1998-05-01
107,港区,88466,43915,44551,37685,1998-05-01
108,大正区,76453,38225,38228,30842,1998-05-01
109,天王寺区,56506,26374,30132,25055,1998-05-01
110,浪速区,49945,25693,24252,28091,1998-05-01
111,西淀川区,91539,45721,45818,37416,1998-05-01
112,淀川区,161428,80628,80800,76828,1998-05-01
113,東淀川区,184619,92488,92131,87001,1998-05-01
114,東成区,78555,37684,40871,33700,1998-05-01
115,生野区,145695,69603,76092,59171,1998-05-01
116,旭区,100891,48753,52138,44144,1998-05-01
117,城東区,156848,75783,81065,66591,1998-05-01
118,鶴見区,99709,49064,50645,37463,1998-05-01
119,阿倍野区,103203,48109,55094,44510,1998-05-01
120,住之江区,137840,67025,70815,53913,1998-05-01
121,住吉区,161794,77160,84634,71392,1998-05-01
122,東住吉区,140371,67081,73290,59484,1998-05-01
123,平野区,201079,97509,103570,79386,1998-05-01
124,西成区,138846,78855,59991,74543,1998-05-01
125,大阪市,2594621,1272644,1321977,1140034,1998-06-01
126,北区,88672,42614,46058,43220,1998-06-01
127,都島区,97520,47834,49686,42622,1998-06-01
128,福島区,54822,26201,28621,23904,1998-06-01
129,此花区,66330,33050,33280,27226,1998-06-01
130,中央区,53332,24628,28704,27130,1998-06-01
131,西区,59690,28467,31223,27489,1998-06-01
132,港区,88408,43880,44528,37681,1998-06-01
133,大正区,76450,38220,38230,30864,1998-06-01
134,天王寺区,56531,26392,30139,25085,1998-06-01
135,浪速区,49982,25722,24260,28161,1998-06-01
136,西淀川区,91583,45742,45841,37476,1998-06-01
137,淀川区,161546,80688,80858,77005,1998-06-01
138,東淀川区,184562,92446,92116,87105,1998-06-01
139,東成区,78568,37691,40877,33731,1998-06-01
140,生野区,145669,69587,76082,59254,1998-06-01
141,旭区,100842,48728,52114,44186,1998-06-01
