,area,total,men,women,household,date
0,大阪市,2615405,1278087,1337318,1205328,2003-01-01
1,北区,94605,45677,48928,50182,2003-01-01
2,都島区,98717,48280,50437,44851,2003-01-01
3,福島区,57445,27290,30155,26983,2003-01-01
4,此花区,64578,31688,32890,27527,2003-01-01
5,中央区,60070,27835,32235,33855,2003-01-01
6,西区,67595,32124,35471,35274,2003-01-01
7,港区,85263,41953,43310,37897,2003-01-01
8,大正区,73751,36609,37142,30799,2003-01-01
9,天王寺区,60691,28374,32317,28293,2003-01-01
10,浪速区,52187,26934,25253,31950,2003-01-01
11,西淀川区,94204,46837,47367,39742,2003-01-01
12,淀川区,166945,83031,83914,83319,2003-01-01
13,東淀川区,182197,90859,91338,89357,2003-01-01
14,東成区,78557,37564,40993,35158,2003-01-01
15,生野区,140798,67180,73618,60394,2003-01-01
16,旭区,97896,47063,50833,44082,2003-01-01
17,城東区,159101,76392,82709,69675,2003-01-01
18,鶴見区,104160,50784,53376,40452,2003-01-01
19,阿倍野区,105674,49085,56589,46580,2003-01-01
20,住之江区,133519,64578,68941,54750,2003-01-01
21,住吉区,160857,76039,84818,72920,2003-01-01
22,東住吉区,138034,65626,72408,60614,2003-01-01
23,平野区,202019,97126,104893,82437,2003-01-01
24,西成区,136542,79159,57383,78237,2003-01-01
25,大阪市,2614387,1277467,1336920,1205216,2003-02-01
26,北区,94901,45818,49083,50198,2003-02-01
27,都島区,98698,48265,50433,44854,2003-02-01
28,福島区,57518,27323,30195,27049,2003-02-01
29,此花区,64526,31653,32873,27519,2003-02-01
30,中央区,60123,27859,32264,33953,2003-02-01
31,西区,67663,32156,35507,35379,2003-02-01
32,港区,85203,41917,43286,37871,2003-02-01
33,大正区,73695,36576,37119,30760,2003-02-01
34,天王寺区,60717,28381,32336,28310,2003-02-01
35,浪速区,52201,26934,25267,32005,2003-02-01
36,西淀川区,94212,46834,47378,39727,2003-02-01
37,淀川区,166816,82953,83863,83240,2003-02-01
38,東淀川区,182055,90786,91269,89312,2003-02-01
39,東成区,78564,37561,41003,35173,2003-02-01
40,生野区,140733,67150,73583,60414,2003-02-01
41,旭区,97774,46997,50777,44029,2003-02-01
42,城東区,158972,76322,82650,69626,2003-02-01
43,鶴見区,104098,50742,53356,40420,2003-02-01
44,阿倍野区,105721,49108,56613,46617,2003-02-01
45,住之江区,133397,64509,68888,54727,2003-02-01
46,住吉区,160672,75941,84731,72812,2003-02-01
47,東住吉区,137856,65537,72319,60572,2003-02-01
48,平野区,201888,97044,104844,82393,2003-02-01
49,西成区,136384,79101,57283,78256,2003-02-01
50,大阪市,2613675,1277001,1336674,1205772,2003-03-01
51,北区,95103,45913,49190,50381,2003-03-01
52,都島区,98682,48251,50431,44900,2003-03-01
53,福島区,57524,27324,30200,27086,2003-03-01
54,此花区,64477,31619,32858,27507,2003-03-01
55,中央区,60099,27848,32251,33998,2003-03-01
56,西区,67720,32183,35537,35489,2003-03-01
57,港区,85048,41834,43214,37800,2003-03-01
58,大正区,73652,36548,37104,30764,2003-03-01
59,天王寺区,60831,28430,32401,28376,2003-03-01
60,浪速区,52281,26967,25314,32126,2003-03-01
61,西淀川区,94255,46849,47406,39758,2003-03-01
62,淀川区,166962,83012,83950,83300,2003-03-01
63,東淀川区,181912,90713,91199,89292,2003-03-01
64,東成区,78501,37525,40976,35163,2003-03-01
65,生野区,140608,67090,73518,60386,2003-03-01
66,旭区,97653,46931,50722,44005,2003-03-01
67,城東区,158856,76258,82598,69608,2003-03-01
68,鶴見区,103963,50665,53298,40378,2003-03-01
69,阿倍野区,105904,49194,56710,46746,2003-03-01
70,住之江区,133290,64448,68842,54692,2003-03-01
71,住吉区,160676,75932,84744,72823,2003-03-01
72,東住吉区,137587,65404,72183,60486,2003-03-01
73,平野区,201802,96984,104818,82377,2003-03-01
74,西成区,136289,79079,57210,78331,2003-03-01
75,大阪市,2613922,1277009,1336913,1208897,2003-04-01
76,北区,95579,46141,49438,50847,2003-04-01
77,都島区,98592,48201,50391,45008,2003-04-01
78,福島区,57624,27370,30254,27226,2003-04-01
79,此花区,64507,31624,32883,27593,2003-04-01
80,中央区,60308,27944,32364,34219,2003-04-01
81,西区,68178,32401,35777,35954,2003-04-01
82,港区,84830,41720,43110,37747,2003-04-01
83,大正区,73596,36515,37081,30803,2003-04-01
84,天王寺区,61136,28567,32569,28576,2003-04-01
85,浪速区,52448,27046,25402,32336,2003-04-01
86,西淀川区,94292,46861,47431,39838,2003-04-01
87,淀川区,167196,83115,84081,83599,2003-04-01
88,東淀川区,181652,90582,91070,89384,2003-04-01
89,東成区,78673,37601,41072,35329,2003-04-01
90,生野区,140406,66994,73412,60372,2003-04-01
91,旭区,97401,46802,50599,43981,2003-04-01
92,城東区,158998,76317,82681,69837,2003-04-01
93,鶴見区,103980,50661,53319,40464,2003-04-01
94,阿倍野区,106045,49260,56785,46882,2003-04-01
95,住之江区,132825,64214,68611,54590,2003-04-01
96,住吉区,160583,75877,84706,72910,2003-04-01
97,東住吉区,137174,65202,71972,60431,2003-04-01
98,平野区,201516,96828,104688,82430,2003-04-01
99,西成区,136383,79166,57217,78541,2003-04-01
100,大阪市,2618375,1279055,1339320,1213480,2003-05-01
101,北区,96025,46355,49670,51203,2003-05-01
102,都島区,98778,48286,50492,45142,2003-05-01
103,福島区,57969,27532,30437,27448,2003-05-01
104,此花区,64571,31646,32925,27692,2003-05-01
105,中央区,60906,28221,32685,34678,2003-05-01
