,area,total,men,women,household,date
0,大阪市,2644233,1285054,1359179,1275346,2008-01-01
1,北区,104485,50175,54310,59096,2008-01-01
2,都島区,101893,49334,52559,48410,2008-01-01
3,福島区,62988,29834,33154,31334,2008-01-01
4,此花区,64519,31366,33153,28603,2008-01-01
5,中央区,71646,33384,38262,44106,2008-01-01
6,西区,77553,36653,40900,44366,2008-01-01
7,港区,84200,41263,42937,39278,2008-01-01
8,大正区,71630,35278,36352,30907,2008-01-01
9,天王寺区,66022,30569,35453,32171,2008-01-01
10,浪速区,57934,29460,28474,37873,2008-01-01
11,西淀川区,96653,47795,48858,42071,2008-01-01
12,淀川区,169969,84065,85904,87458,2008-01-01
13,東淀川区,177474,88093,89381,90892,2008-01-01
14,東成区,79363,37831,41532,37358,2008-01-01
15,生野区,135928,65028,70900,62038,2008-01-01
16,旭区,94148,45013,49135,43869,2008-01-01
17,城東区,163049,78003,85046,73641,2008-01-01
18,鶴見区,109657,52888,56769,44065,2008-01-01
19,阿倍野区,107269,49616,57653,48492,2008-01-01
20,住之江区,128973,61909,67064,55874,2008-01-01
21,住吉区,157414,74000,83414,73245,2008-01-01
22,東住吉区,133396,63185,70211,60539,2008-01-01
23,平野区,200607,95627,104980,85202,2008-01-01
24,西成区,127463,74685,52778,74458,2008-01-01
25,大阪市,2643573,1284589,1358984,1275365,2008-02-01
26,北区,104564,50188,54376,59215,2008-02-01
27,都島区,101915,49335,52580,48427,2008-02-01
28,福島区,63002,29846,33156,31345,2008-02-01
29,此花区,64469,31336,33133,28580,2008-02-01
30,中央区,71754,33450,38304,44150,2008-02-01
31,西区,77604,36638,40966,44323,2008-02-01
32,港区,84190,41258,42932,39300,2008-02-01
33,大正区,71545,35243,36302,30879,2008-02-01
34,天王寺区,66023,30549,35474,32177,2008-02-01
35,浪速区,57977,29497,28480,37977,2008-02-01
36,西淀川区,96682,47804,48878,42109,2008-02-01
37,淀川区,169968,84023,85945,87444,2008-02-01
38,東淀川区,177473,88065,89408,90912,2008-02-01
39,東成区,79281,37803,41478,37332,2008-02-01
40,生野区,135871,64998,70873,62033,2008-02-01
41,旭区,94052,44949,49103,43849,2008-02-01
42,城東区,162975,77966,85009,73601,2008-02-01
43,鶴見区,109674,52890,56784,44065,2008-02-01
44,阿倍野区,107241,49643,57598,48526,2008-02-01
45,住之江区,128812,61833,66979,55839,2008-02-01
46,住吉区,157334,73984,83350,73211,2008-02-01
47,東住吉区,133336,63181,70155,60544,2008-02-01
48,平野区,200508,95524,104984,85174,2008-02-01
49,西成区,127323,74586,52737,74353,2008-02-01
50,大阪市,2643151,1284386,1358765,1275646,2008-03-01
51,北区,104622,50208,54414,59307,2008-03-01
52,都島区,101881,49320,52561,48438,2008-03-01
53,福島区,63118,29904,33214,31407,2008-03-01
54,此花区,64444,31333,33111,28556,2008-03-01
55,中央区,71818,33511,38307,44170,2008-03-01
56,西区,77654,36673,40981,44335,2008-03-01
57,港区,84261,41292,42969,39347,2008-03-01
58,大正区,71513,35215,36298,30884,2008-03-01
59,天王寺区,66030,30553,35477,32188,2008-03-01
60,浪速区,58100,29540,28560,38147,2008-03-01
61,西淀川区,96716,47816,48900,42105,2008-03-01
62,淀川区,169795,83895,85900,87386,2008-03-01
63,東淀川区,177277,87949,89328,90867,2008-03-01
64,東成区,79213,37769,41444,37307,2008-03-01
65,生野区,135772,64938,70834,62041,2008-03-01
66,旭区,93987,44923,49064,43834,2008-03-01
67,城東区,163601,78293,85308,73917,2008-03-01
68,鶴見区,109605,52838,56767,44064,2008-03-01
