,area,total,men,women,household,date
0,大阪市,2714710,1402681,1312029,1395593,2017-12-01
1,北区,129691,66961,62730,78120,2017-12-01
2,都島区,106499,55197,51302,53800,2017-12-01
3,福島区,74504,39374,35130,39148,2017-12-01
4,此花区,66334,33906,32428,31389,2017-12-01
5,中央区,96597,51581,45016,61651,2017-12-01
6,西区,98160,51993,46167,55982,2017-12-01
7,港区,81018,41459,39559,40550,2017-12-01
8,大正区,64340,32943,31397,29600,2017-12-01
9,天王寺区,78454,42021,36433,39653,2017-12-01
10,浪速区,72563,35873,36690,50137,2017-12-01
11,西淀川区,95594,48627,46967,44105,2017-12-01
12,淀川区,179294,90346,88948,98213,2017-12-01
13,東淀川区,175918,89351,86567,95322,2017-12-01
14,東成区,82109,42859,39250,41971,2017-12-01
15,生野区,129685,67275,62410,65533,2017-12-01
16,旭区,91042,47676,43366,44206,2017-12-01
17,城東区,166243,87203,79040,78593,2017-12-01
18,鶴見区,111519,58267,53252,47086,2017-12-01
19,阿倍野区,108670,58557,50113,51176,2017-12-01
20,住之江区,121659,63288,58371,57858,2017-12-01
21,住吉区,153330,81745,71585,72445,2017-12-01
22,東住吉区,126190,66849,59341,58852,2017-12-01
23,平野区,194777,102609,92168,90613,2017-12-01
24,西成区,110520,46721,63799,69590,2017-12-01
25,大阪市,2714497,1402410,1312087,1395304,2017-11-01
26,北区,129575,66902,62673,78072,2017-11-01
27,都島区,106504,55200,51304,53838,2017-11-01
28,福島区,74412,39326,35086,39115,2017-11-01
29,此花区,66381,33938,32443,31391,2017-11-01
30,中央区,96457,51493,44964,61590,2017-11-01
31,西区,97966,51881,46085,55883,2017-11-01
32,港区,81049,41438,39611,40535,2017-11-01
33,大正区,64357,32953,31404,29592,2017-11-01
34,天王寺区,78429,42004,36425,39649,2017-11-01
35,浪速区,72608,35904,36704,50202,2017-11-01
36,西淀川区,95538,48593,46945,44067,2017-11-01
37,淀川区,179252,90322,88930,98193,2017-11-01
38,東淀川区,175877,89329,86548,95318,2017-11-01
39,東成区,81971,42780,39191,41848,2017-11-01
40,生野区,129836,67373,62463,65572,2017-11-01
41,旭区,91013,47690,43323,44129,2017-11-01
42,城東区,166287,87191,79096,78597,2017-11-01
43,鶴見区,111544,58266,53278,47080,2017-11-01
44,阿倍野区,108728,58566,50162,51225,2017-11-01
45,住之江区,121687,63281,58406,57854,2017-11-01
46,住吉区,153388,81728,71660,72504,2017-11-01
47,東住吉区,126225,66860,59365,58858,2017-11-01
48,平野区,194819,102643,92176,90553,2017-11-01
49,西成区,110594,46749,63845,69639,2017-11-01
50,大阪市,2713157,1401872,1311285,1392900,2017-10-01
51,北区,129412,66809,62603,77956,2017-10-01
52,都島区,106523,55225,51298,53790,2017-10-01
53,福島区,74381,39313,35068,39069,2017-10-01
54,此花区,66362,33927,32435,31309,2017-10-01
55,中央区,96438,51487,44951,61558,2017-10-01
56,西区,97667,51748,45919,55644,2017-10-01
57,港区,81065,41438,39627,40505,2017-10-01
58,大正区,64355,32958,31397,29561,2017-10-01
59,天王寺区,78372,41995,36377,39604,2017-10-01
60,浪速区,72350,35697,36653,49925,2017-10-01
61,西淀川区,95518,48561,46957,43985,2017-10-01
62,淀川区,179136,90288,88848,97988,2017-10-01
