,date,household,household_io(mom),household(mom),pop_density,pop(mom),area,men,women,total,size
720,2016-07-01,57263,33.0,,5929.403202,122295,住之江区,63506,58699,122205,20.61
721,2016-07-01,72084,161.0,,16386.063830000006,153861,住吉区,82081,71948,154029,9.4
722,2016-07-01,58183,64.0,,12944.82051,126149,東住吉区,66769,59443,126212,9.75
723,2016-07-01,89549,102.0,,12826.57068,195933,平野区,103070,92920,195990,15.28
724,2016-07-01,69115,-37.0,,15075.983719999998,111183,西成区,46929,64181,111110,7.37
725,2016-06-01,1369985,1382.0,,11987.19417,2699164,大阪市,1393755,1305881,2699636,225.21
726,2016-06-01,75524,44.0,,12141.29594,125490,北区,64920,60621,125541,10.34
727,2016-06-01,52351,70.0,,17325.98684,105248,都島区,54495,50847,105342,6.08
728,2016-06-01,38151,118.0,,15669.80728,73038,福島区,38686,34492,73178,4.67
729,2016-06-01,30884,24.0,,3450.9090909999995,66428,此花区,33960,32470,66430,19.25
730,2016-06-01,60543,154.0,,10712.96505,94857,中央区,50645,44379,95024,8.87
731,2016-06-01,53812,121.0,,18215.16315,94707,西区,50192,44709,94901,5.21
732,2016-06-01,40471,2.0,,10404.45293,81822,港区,41845,39934,81779,7.86
733,2016-06-01,29267,42.0,,6858.6426299999985,64683,大正区,33126,31551,64677,9.43
734,2016-06-01,38788,81.0,,15893.38843,76734,天王寺区,41167,35757,76924,4.84
735,2016-06-01,48603,43.0,,16164.2369,70951,浪速区,34892,36069,70961,4.39
736,2016-06-01,43217,0.0,,6706.891702,95389,西淀川区,48501,46871,95372,14.22
737,2016-06-01,95999,279.0,,14041.13924,177195,淀川区,89521,87959,177480,12.64
738,2016-06-01,93794,45.0,,13244.23512,175871,東淀川区,89239,86512,175751,13.27
739,2016-06-01,40079,39.0,,17768.28194,80676,東成区,42116,38552,80668,4.54
740,2016-06-01,64286,90.0,,15526.88172,129964,生野区,67399,62561,129960,8.37
741,2016-06-01,43855,2.0,,14479.74684,91574,旭区,47884,43628,91512,6.32
742,2016-06-01,77276,43.0,,19702.86396,165125,城東区,86548,78562,165110,8.38
743,2016-06-01,46614,60.0,,13643.20685,111468,鶴見区,58086,53379,111465,8.17
744,2016-06-01,50600,1.0,,18083.61204,108223,阿倍野区,58285,49855,108140,5.98
745,2016-06-01,57230,34.0,,5933.770015,122390,住之江区,63536,58759,122295,20.61
746,2016-06-01,71923,38.0,,16368.19149,153860,住吉区,81965,71896,153861,9.4
747,2016-06-01,58119,17.0,,12938.35897,126229,東住吉区,66736,59413,126149,9.75
748,2016-06-01,89447,74.0,,12822.84031,195961,平野区,103044,92889,195933,15.28
749,2016-06-01,69152,-39.0,,15085.88874,111281,西成区,46967,64216,111183,7.37
750,2016-05-01,1368603,5005.0,,11985.09835,2694610,大阪市,1393647,1305517,2699164,225.21
