,area,total,men,women,household,date
0,大阪市,2629550,1280245,1349305,1247617,2006-01-01
1,北区,100921,48649,52272,55570,2006-01-01
2,都島区,99851,48573,51278,46570,2006-01-01
3,福島区,61212,29014,32198,29805,2006-01-01
4,此花区,63780,31015,32765,27890,2006-01-01
5,中央区,67122,31090,36032,40644,2006-01-01
6,西区,73073,34692,38381,41992,2006-01-01
7,港区,83108,40669,42439,37777,2006-01-01
8,大正区,73099,36085,37014,30962,2006-01-01
9,天王寺区,64544,30025,34519,31149,2006-01-01
10,浪速区,54721,27954,26767,34659,2006-01-01
11,西淀川区,95585,47258,48327,40839,2006-01-01
12,淀川区,169563,83869,85694,85470,2006-01-01
13,東淀川区,178045,88661,89384,89424,2006-01-01
14,東成区,78964,37559,41405,36403,2006-01-01
15,生野区,138290,66012,72278,61653,2006-01-01
16,旭区,95030,45430,49600,43576,2006-01-01
17,城東区,160929,76984,83945,71557,2006-01-01
18,鶴見区,107536,52014,55522,42658,2006-01-01
19,阿倍野区,107164,49818,57346,47718,2006-01-01
20,住之江区,130530,62787,67743,55058,2006-01-01
21,住吉区,159015,74821,84194,73035,2006-01-01
22,東住吉区,134682,63860,70822,60283,2006-01-01
23,平野区,200644,95774,104870,84067,2006-01-01
24,西成区,132142,77632,54510,78858,2006-01-01
25,大阪市,2629129,1279832,1349297,1247834,2006-02-01
26,北区,101312,48847,52465,55816,2006-02-01
27,都島区,99785,48517,51268,46567,2006-02-01
28,福島区,61201,29014,32187,29852,2006-02-01
29,此花区,63814,31029,32785,27923,2006-02-01
30,中央区,67244,31135,36109,40671,2006-02-01
31,西区,73191,34746,38445,42011,2006-02-01
32,港区,83083,40649,42434,37789,2006-02-01
33,大正区,73071,36069,37002,30970,2006-02-01
34,天王寺区,64559,30032,34527,31180,2006-02-01
35,浪速区,54730,27956,26774,34740,2006-02-01
36,西淀川区,95566,47243,48323,40855,2006-02-01
37,淀川区,169453,83791,85662,85425,2006-02-01
38,東淀川区,177977,88597,89380,89441,2006-02-01
39,東成区,78976,37573,41403,36423,2006-02-01
40,生野区,138198,66009,72189,61653,2006-02-01
41,旭区,94937,45367,49570,43462,2006-02-01
42,城東区,160931,76965,83966,71577,2006-02-01
43,鶴見区,107560,52040,55520,42692,2006-02-01
44,阿倍野区,107056,49746,57310,47653,2006-02-01
45,住之江区,130473,62739,67734,55062,2006-02-01
46,住吉区,159003,74832,84171,73040,2006-02-01
47,東住吉区,134565,63799,70766,60244,2006-02-01
48,平野区,200621,95744,104877,84055,2006-02-01
49,西成区,131823,77393,54430,78733,2006-02-01
50,大阪市,2629043,1279416,1349627,1248036,2006-03-01
51,北区,101461,48844,52617,55804,2006-03-01
52,都島区,99708,48478,51230,46540,2006-03-01
53,福島区,61213,29017,32196,29875,2006-03-01
54,此花区,63811,31037,32774,27934,2006-03-01
55,中央区,67588,31293,36295,40900,2006-03-01
