,area,total,men,women,household,date
0,大阪市,2595224,1271875,1323349,1156299,2000-01-01
1,北区,90849,43830,47019,45940,2000-01-01
2,都島区,97310,47746,49564,42937,2000-01-01
3,福島区,55373,26391,28982,24644,2000-01-01
4,此花区,65519,32491,33028,27126,2000-01-01
5,中央区,54236,25106,29130,28280,2000-01-01
6,西区,62391,29688,32703,29427,2000-01-01
7,港区,87539,43319,44220,37777,2000-01-01
8,大正区,75621,37736,37885,30879,2000-01-01
9,天王寺区,57946,27165,30781,26197,2000-01-01
10,浪速区,49967,25901,24066,28932,2000-01-01
11,西淀川区,91683,45768,45915,38078,2000-01-01
12,淀川区,162133,80987,81146,78721,2000-01-01
13,東淀川区,184377,92112,92265,87749,2000-01-01
14,東成区,78726,37795,40931,34072,2000-01-01
15,生野区,143721,68596,75125,59352,2000-01-01
16,旭区,99909,48255,51654,44348,2000-01-01
17,城東区,157097,75734,81363,67442,2000-01-01
18,鶴見区,101256,49720,51536,38506,2000-01-01
19,阿倍野区,103279,48006,55273,44950,2000-01-01
20,住之江区,135972,66053,69919,54118,2000-01-01
21,住吉区,161233,76627,84606,71684,2000-01-01
22,東住吉区,140010,66766,73244,60012,2000-01-01
23,平野区,201849,97653,104196,80384,2000-01-01
24,西成区,137228,78430,58798,74744,2000-01-01
25,大阪市,2594508,1271465,1323043,1156354,2000-02-01
26,北区,90885,43856,47029,46044,2000-02-01
27,都島区,97230,47708,49522,42873,2000-02-01
28,福島区,55332,26367,28965,24612,2000-02-01
29,此花区,65459,32453,33006,27099,2000-02-01
30,中央区,54237,25110,29127,28303,2000-02-01
31,西区,62494,29734,32760,29504,2000-02-01
32,港区,87485,43286,44199,37721,2000-02-01
33,大正区,75528,37686,37842,30878,2000-02-01
34,天王寺区,58008,27200,30808,26239,2000-02-01
35,浪速区,49991,25923,24068,28978,2000-02-01
36,西淀川区,91640,45745,45895,38072,2000-02-01
37,淀川区,162478,81160,81318,78945,2000-02-01
38,東淀川区,184186,92003,92183,87663,2000-02-01
39,東成区,78743,37805,40938,34077,2000-02-01
40,生野区,143527,68500,75027,59278,2000-02-01
41,旭区,99882,48241,51641,44323,2000-02-01
42,城東区,157021,75689,81332,67429,2000-02-01
43,鶴見区,101205,49690,51515,38506,2000-02-01
44,阿倍野区,103300,48009,55291,44964,2000-02-01
45,住之江区,135932,66031,69901,54107,2000-02-01
46,住吉区,161157,76577,84580,71645,2000-02-01
47,東住吉区,139930,66720,73210,60011,2000-02-01
48,平野区,201849,97642,104207,80382,2000-02-01
49,西成区,137009,78330,58679,74701,2000-02-01
50,大阪市,2593851,1271087,1322764,1156867,2000-03-01
51,北区,90935,43889,47046,46139,2000-03-01
52,都島区,97237,47712,49525,42881,2000-03-01
53,福島区,55293,26345,28948,24620,2000-03-01
54,此花区,65372,32402,32970,27066,2000-03-01
55,中央区,54296,25140,29156,28383,2000-03-01
56,西区,62560,29761,32799,29555,2000-03-01
