,area,total,men,women,household,date
0,大阪市,2680155,1297396,1382759,1344649,2015-01-01
1,北区,121024,58403,62621,72316,2015-01-01
2,都島区,104486,50360,54126,51204,2015-01-01
3,福島区,71833,33911,37922,37067,2015-01-01
4,此花区,66430,32404,34026,30460,2015-01-01
5,中央区,89861,42001,47860,57123,2015-01-01
6,西区,89902,42457,47445,50779,2015-01-01
7,港区,82147,40190,41957,40276,2015-01-01
8,大正区,65751,32079,33672,29423,2015-01-01
9,天王寺区,74800,34808,39992,37515,2015-01-01
10,浪速区,67816,34447,33369,46272,2015-01-01
11,西淀川区,95512,47072,48440,42822,2015-01-01
12,淀川区,175074,86627,88447,93360,2015-01-01
13,東淀川区,175410,86227,89183,92145,2015-01-01
14,東成区,80233,38321,41912,39422,2015-01-01
15,生野区,130324,62709,67615,63339,2015-01-01
16,旭区,91585,43749,47836,43620,2015-01-01
17,城東区,164242,78285,85957,75921,2015-01-01
18,鶴見区,111236,53252,57984,46014,2015-01-01
19,阿倍野区,107415,49464,57951,50125,2015-01-01
20,住之江区,123743,59420,64323,56868,2015-01-01
21,住吉区,153960,72060,81900,71773,2015-01-01
22,東住吉区,126697,59879,66818,57960,2015-01-01
23,平野区,197222,93444,103778,88510,2015-01-01
24,西成区,113452,65827,47625,70335,2015-01-01
25,大阪市,2680486,1297555,1382931,1344411,2015-02-01
26,北区,121232,58538,62694,72421,2015-02-01
27,都島区,104507,50366,54141,51198,2015-02-01
28,福島区,71870,33941,37929,37063,2015-02-01
29,此花区,66413,32404,34009,30433,2015-02-01
30,中央区,90108,42161,47947,57221,2015-02-01
31,西区,90065,42502,47563,50808,2015-02-01
32,港区,82163,40178,41985,40268,2015-02-01
33,大正区,65655,32034,33621,29372,2015-02-01
34,天王寺区,74840,34815,40025,37515,2015-02-01
35,浪速区,67997,34538,33459,46382,2015-02-01
36,西淀川区,95437,47010,48427,42739,2015-02-01
37,淀川区,175005,86577,88428,93294,2015-02-01
38,東淀川区,175425,86257,89168,92097,2015-02-01
39,東成区,80185,38291,41894,39395,2015-02-01
40,生野区,130275,62707,67568,63310,2015-02-01
41,旭区,91575,43758,47817,43605,2015-02-01
42,城東区,164283,78303,85980,75942,2015-02-01
43,鶴見区,111226,53250,57976,45993,2015-02-01
44,阿倍野区,107327,49442,57885,50098,2015-02-01
45,住之江区,123676,59413,64263,56849,2015-02-01
46,住吉区,153988,72078,81910,71747,2015-02-01
47,東住吉区,126693,59882,66811,57935,2015-02-01
48,平野区,197259,93438,103821,88545,2015-02-01
49,西成区,113282,65672,47610,70181,2015-02-01
50,大阪市,2680203,1297433,1382770,1344580,2015-03-01
51,北区,121320,58601,62719,72506,2015-03-01
52,都島区,104487,50379,54108,51202,2015-03-01
53,福島区,71886,33955,37931,37046,2015-03-01
54,此花区,66504,32460,34044,30520,2015-03-01
55,中央区,90283,42220,48063,57315,2015-03-01
56,西区,90133,42518,47615,50806,2015-03-01
57,港区,82179,40204,41975,40278,2015-03-01
58,大正区,65574,31986,33588,29360,2015-03-01
59,天王寺区,74968,34886,40082,37555,2015-03-01
60,浪速区,68103,34607,33496,46478,2015-03-01
61,西淀川区,95457,47019,48438,42777,2015-03-01
62,淀川区,174976,86571,88405,93260,2015-03-01
63,東淀川区,175321,86201,89120,92096,2015-03-01
64,東成区,80208,38321,41887,39392,2015-03-01
65,生野区,130272,62746,67526,63370,2015-03-01
66,旭区,91514,43727,47787,43598,2015-03-01
67,城東区,164147,78255,85892,75888,2015-03-01
68,鶴見区,111246,53257,57989,46013,2015-03-01
69,阿倍野区,107362,49445,57917,50074,2015-03-01
70,住之江区,123594,59386,64208,56834,2015-03-01
71,住吉区,153898,72010,81888,71689,2015-03-01
72,東住吉区,126586,59804,66782,57879,2015-03-01
73,平野区,197155,93368,103787,88566,2015-03-01
74,西成区,113030,65507,47523,70078,2015-03-01
75,大阪市,2682972,1298485,1384487,1349418,2015-04-01
76,北区,121988,58890,63098,73170,2015-04-01
