,area,total,men,women,household,date
0,大阪市,2678238,1297669,1380569,1338136,2014-01-01
1,北区,118136,56892,61244,70245,2014-01-01
2,都島区,104393,50347,54046,51006,2014-01-01
3,福島区,71401,33730,37671,36772,2014-01-01
4,此花区,66686,32556,34130,30291,2014-01-01
5,中央区,86528,40464,46064,54633,2014-01-01
6,西区,88052,41562,46490,49776,2014-01-01
7,港区,82489,40408,42081,40150,2014-01-01
8,大正区,66629,32542,34087,29651,2014-01-01
9,天王寺区,73877,34357,39520,36979,2014-01-01
10,浪速区,66291,33687,32604,45458,2014-01-01
11,西淀川区,96223,47476,48747,43023,2014-01-01
12,淀川区,174288,86264,88024,92745,2014-01-01
13,東淀川区,176385,86853,89532,92230,2014-01-01
14,東成区,80559,38481,42078,39444,2014-01-01
15,生野区,131238,63086,68152,63226,2014-01-01
16,旭区,91850,43904,47946,43717,2014-01-01
17,城東区,163946,78246,85700,75505,2014-01-01
18,鶴見区,111327,53315,58012,45808,2014-01-01
19,阿倍野区,107281,49451,57830,50116,2014-01-01
20,住之江区,124828,59924,64904,56897,2014-01-01
21,住吉区,154468,72372,82096,72283,2014-01-01
22,東住吉区,127500,60320,67180,58361,2014-01-01
23,平野区,198150,93918,104232,88039,2014-01-01
24,西成区,115713,67514,48199,71781,2014-01-01
25,大阪市,2676778,1296856,1379922,1337160,2014-02-01
26,北区,118134,56881,61253,70245,2014-02-01
27,都島区,104354,50313,54041,50975,2014-02-01
28,福島区,71473,33789,37684,36777,2014-02-01
29,此花区,66701,32566,34135,30286,2014-02-01
30,中央区,86576,40478,46098,54670,2014-02-01
31,西区,88027,41543,46484,49749,2014-02-01
32,港区,82351,40330,42021,40099,2014-02-01
33,大正区,66583,32507,34076,29585,2014-02-01
34,天王寺区,73887,34369,39518,36983,2014-02-01
35,浪速区,66368,33735,32633,45497,2014-02-01
36,西淀川区,96147,47418,48729,42992,2014-02-01
37,淀川区,174213,86192,88021,92664,2014-02-01
38,東淀川区,176285,86793,89492,92157,2014-02-01
39,東成区,80494,38434,42060,39432,2014-02-01
40,生野区,131089,63027,68062,63180,2014-02-01
41,旭区,91811,43889,47922,43670,2014-02-01
42,城東区,163783,78158,85625,75424,2014-02-01
43,鶴見区,111386,53349,58037,45805,2014-02-01
44,阿倍野区,107248,49441,57807,50062,2014-02-01
45,住之江区,124685,59859,64826,56895,2014-02-01
46,住吉区,154307,72304,82003,72177,2014-02-01
47,東住吉区,127403,60286,67117,58296,2014-02-01
48,平野区,197991,93832,104159,87998,2014-02-01
49,西成区,115482,67363,48119,71542,2014-02-01
50,大阪市,2675373,1296022,1379351,1336882,2014-03-01
51,北区,118230,56932,61298,70330,2014-03-01
52,都島区,104264,50249,54015,50937,2014-03-01
53,福島区,71455,33789,37666,36783,2014-03-01
54,此花区,66691,32570,34121,30323,2014-03-01
55,中央区,86718,40574,46144,54805,2014-03-01
56,西区,88083,41542,46541,49753,2014-03-01
57,港区,82301,40315,41986,40081,2014-03-01
58,大正区,66510,32483,34027,29578,2014-03-01
59,天王寺区,73902,34379,39523,36979,2014-03-01
60,浪速区,66499,33832,32667,45637,2014-03-01
61,西淀川区,96016,47337,48679,42941,2014-03-01
62,淀川区,174153,86140,88013,92669,2014-03-01
63,東淀川区,176146,86710,89436,92083,2014-03-01
64,東成区,80479,38427,42052,39447,2014-03-01
65,生野区,130928,62920,68008,63124,2014-03-01
66,旭区,91770,43876,47894,43579,2014-03-01
67,城東区,163719,78100,85619,75413,2014-03-01
68,鶴見区,111413,53353,58060,45833,2014-03-01
69,阿倍野区,107156,49408,57748,50002,2014-03-01
70,住之江区,124513,59755,64758,56880,2014-03-01
71,住吉区,154077,72186,81891,72045,2014-03-01
72,東住吉区,127289,60197,67092,58269,2014-03-01
73,平野区,197814,93759,104055,87967,2014-03-01
74,西成区,115247,67189,48058,71424,2014-03-01
75,大阪市,2674629,1294701,1379928,1340145,2014-04-01
76,北区,118644,57061,61583,70768,2014-04-01
77,都島区,104409,50266,54143,51110,2014-04-01
78,福島区,71470,33729,37741,36871,2014-04-01
79,此花区,66634,32505,34129,30361,2014-04-01
80,中央区,87204,40752,46452,55275,2014-04-01
81,西区,88485,41711,46774,50113,2014-04-01
82,港区,82212,40264,41948,40187,2014-04-01
83,大正区,66278,32363,33915,29544,2014-04-01
84,天王寺区,73855,34344,39511,37045,2014-04-01
85,浪速区,66623,33863,32760,45869,2014-04-01
86,西淀川区,95904,47292,48612,42994,2014-04-01
87,淀川区,174597,86258,88339,93160,2014-04-01
88,東淀川区,175854,86536,89318,92292,2014-04-01
89,東成区,80374,38398,41976,39504,2014-04-01
90,生野区,130724,62815,67909,63228,2014-04-01
91,旭区,91606,43765,47841,43627,2014-04-01
92,城東区,163599,77974,85625,75585,2014-04-01
93,鶴見区,111181,53215,57966,45886,2014-04-01
94,阿倍野区,107144,49305,57839,49974,2014-04-01
95,住之江区,124216,59593,64623,56882,2014-04-01
96,住吉区,153795,71954,81841,72012,2014-04-01
97,東住吉区,127178,60084,67094,58316,2014-04-01
98,平野区,197688,93649,104039,88196,2014-04-01
99,西成区,114955,67005,47950,71346,2014-04-01
100,大阪市,2678793,1296895,1381898,1343377,2014-05-01
101,北区,119667,57571,62096,71445,2014-05-01
102,都島区,104593,50378,54215,51243,2014-05-01
103,福島区,71502,33736,37766,36956,2014-05-01
104,此花区,66594,32488,34106,30387,2014-05-01
105,中央区,87888,41057,46831,55719,2014-05-01
106,西区,88850,41919,46931,50342,2014-05-01
107,港区,82269,40257,42012,40282,2014-05-01
108,大正区,66247,32344,33903,29567,2014-05-01
109,天王寺区,74154,34481,39673,37214,2014-05-01
110,浪速区,66835,33987,32848,46025,2014-05-01
111,西淀川区,95876,47321,48555,43026,2014-05-01
112,淀川区,174855,86430,88425,93367,2014-05-01
113,東淀川区,176042,86601,89441,92485,2014-05-01
114,東成区,80414,38417,41997,39578,2014-05-01
115,生野区,130868,62948,67920,63288,2014-05-01
116,旭区,91626,43786,47840,43648,2014-05-01
117,城東区,164110,78239,85871,75856,2014-05-01
118,鶴見区,111105,53169,57936,45933,2014-05-01
119,阿倍野区,107395,49428,57967,50145,2014-05-01
120,住之江区,124206,59591,64615,56925,2014-05-01
121,住吉区,153860,71990,81870,72060,2014-05-01
