,area,total,men,women,household,date
108,大正区,69927,34337,35590,30695,2010-05-01
109,天王寺区,69602,32188,37414,34576,2010-05-01
110,浪速区,61331,31163,30168,41815,2010-05-01
111,西淀川区,97551,48378,49173,43538,2010-05-01
112,淀川区,171994,85133,86861,90847,2010-05-01
113,東淀川区,176794,87097,89697,91984,2010-05-01
114,東成区,80131,38380,41751,38749,2010-05-01
115,生野区,134341,64363,69978,62769,2010-05-01
116,旭区,92624,44355,48269,43877,2010-05-01
117,城東区,165915,79525,86390,75919,2010-05-01
118,鶴見区,111082,53277,57805,45175,2010-05-01
119,阿倍野区,106419,49008,57411,49206,2010-05-01
120,住之江区,127387,61094,66293,56513,2010-05-01
121,住吉区,155794,73302,82492,73895,2010-05-01
122,東住吉区,131165,62135,69030,60245,2010-05-01
123,平野区,199998,95094,104904,86302,2010-05-01
124,西成区,122916,72331,50585,74510,2010-05-01
125,大阪市,2665040,1293795,1371245,1315315,2010-06-01
126,北区,109918,52503,57415,64646,2010-06-01
127,都島区,102622,49532,53090,49978,2010-06-01
128,福島区,66837,31622,35215,34080,2010-06-01
129,此花区,65573,31919,33654,29442,2010-06-01
130,中央区,77854,36481,41373,48599,2010-06-01
131,西区,82556,39062,43494,46907,2010-06-01
132,港区,85074,41820,43254,40714,2010-06-01
133,大正区,69875,34302,35573,30632,2010-06-01
134,天王寺区,69654,32233,37421,34601,2010-06-01
135,浪速区,61352,31160,30192,41937,2010-06-01
136,西淀川区,97537,48353,49184,43550,2010-06-01
137,淀川区,172024,85122,86902,90907,2010-06-01
138,東淀川区,176712,87038,89674,91980,2010-06-01
139,東成区,80196,38402,41794,38814,2010-06-01
140,生野区,134285,64319,69966,62786,2010-06-01
141,旭区,92515,44297,48218,43832,2010-06-01
142,城東区,165971,79548,86423,75974,2010-06-01
143,鶴見区,111109,53275,57834,45214,2010-06-01
144,阿倍野区,106372,48992,57380,49222,2010-06-01
145,住之江区,127494,61139,66355,56598,2010-06-01
146,住吉区,155754,73243,82511,73901,2010-06-01
