,area,total,men,women,household,date
0,大阪市,2595381,1272653,1322728,1142824,1999-01-01
1,北区,88865,42767,46098,43762,1999-01-01
2,都島区,97055,47612,49443,42414,1999-01-01
3,福島区,54981,26250,28731,24155,1999-01-01
4,此花区,66198,32926,33272,27155,1999-01-01
5,中央区,53478,24717,28761,27389,1999-01-01
6,西区,60194,28683,31511,27946,1999-01-01
7,港区,88332,43794,44538,37706,1999-01-01
8,大正区,76178,38058,38120,30778,1999-01-01
9,天王寺区,56621,26474,30147,25199,1999-01-01
10,浪速区,49923,25760,24163,28322,1999-01-01
11,西淀川区,91721,45802,45919,37643,1999-01-01
12,淀川区,161549,80692,80857,77242,1999-01-01
13,東淀川区,185030,92591,92439,87301,1999-01-01
14,東成区,78648,37740,40908,33799,1999-01-01
15,生野区,145147,69315,75832,59246,1999-01-01
16,旭区,100728,48664,52064,44180,1999-01-01
17,城東区,157297,75932,81365,66988,1999-01-01
18,鶴見区,100221,49274,50947,37799,1999-01-01
19,阿倍野区,103216,48060,55156,44553,1999-01-01
20,住之江区,137601,66883,70718,53970,1999-01-01
21,住吉区,161843,77077,84766,71463,1999-01-01
22,東住吉区,140249,66965,73284,59641,1999-01-01
23,平野区,201933,97831,104102,79733,1999-01-01
24,西成区,138373,78786,59587,74440,1999-01-01
25,大阪市,2594168,1271996,1322172,1142623,1999-02-01
26,北区,88973,42828,46145,43896,1999-02-01
27,都島区,97005,47588,49417,42422,1999-02-01
28,福島区,54920,26217,28703,24138,1999-02-01
29,此花区,66076,32857,33219,27104,1999-02-01
30,中央区,53463,24713,28750,27450,1999-02-01
31,西区,60359,28759,31600,28084,1999-02-01
32,港区,88299,43771,44528,37629,1999-02-01
33,大正区,76079,38005,38074,30753,1999-02-01
34,天王寺区,56672,26504,30168,25243,1999-02-01
35,浪速区,49861,25738,24123,28351,1999-02-01
36,西淀川区,91723,45802,45921,37562,1999-02-01
37,淀川区,161506,80670,80836,77184,1999-02-01
38,東淀川区,184967,92547,92420,87288,1999-02-01
39,東成区,78575,37706,40869,33773,1999-02-01
40,生野区,144975,69230,75745,59211,1999-02-01
41,旭区,100579,48591,51988,44101,1999-02-01
42,城東区,157254,75903,81351,66977,1999-02-01
43,鶴見区,100348,49331,51017,37849,1999-02-01
44,阿倍野区,103138,48016,55122,44550,1999-02-01
45,住之江区,137471,66817,70654,53931,1999-02-01
46,住吉区,161665,76979,84686,71366,1999-02-01
47,東住吉区,140164,66918,73246,59620,1999-02-01
48,平野区,201997,97851,104146,79803,1999-02-01
49,西成区,138099,78655,59444,74338,1999-02-01
50,大阪市,2593408,1271560,1321848,1142970,1999-03-01
51,北区,89133,42914,46219,44093,1999-03-01
52,都島区,96954,47564,49390,42378,1999-03-01
53,福島区,54892,26200,28692,24108,1999-03-01
54,此花区,65961,32792,33169,27058,1999-03-01
55,中央区,53416,24695,28721,27448,1999-03-01
56,西区,60626,28882,31744,28271,1999-03-01
57,港区,88267,43748,44519,37618,1999-03-01
58,大正区,75999,37961,38038,30682,1999-03-01
59,天王寺区,56756,26549,30207,25345,1999-03-01
60,浪速区,49798,25715,24083,28419,1999-03-01
61,西淀川区,91711,45794,45917,37578,1999-03-01
62,淀川区,161411,80623,80788,77242,1999-03-01
63,東淀川区,184876,92489,92387,87254,1999-03-01
64,東成区,78574,37707,40867,33803,1999-03-01
65,生野区,144936,69208,75728,59218,1999-03-01
66,旭区,100478,48541,51937,44077,1999-03-01
67,城東区,157157,75848,81309,66922,1999-03-01
68,鶴見区,100383,49343,51040,37893,1999-03-01
69,阿倍野区,103095,47989,55106,44538,1999-03-01
70,住之江区,137290,66726,70564,53904,1999-03-01
71,住吉区,161600,76935,84665,71310,1999-03-01
72,東住吉区,140075,66868,73207,59589,1999-03-01
73,平野区,202079,97879,104200,79868,1999-03-01
74,西成区,137941,78590,59351,74354,1999-03-01
75,大阪市,2591823,1270727,1321096,1145191,1999-04-01
76,北区,89519,43109,46410,44441,1999-04-01
77,都島区,97061,47617,49444,42538,1999-04-01
78,福島区,55020,26257,28763,24249,1999-04-01
79,此花区,65704,32656,33048,26939,1999-04-01
80,中央区,53501,24737,28764,27578,1999-04-01
81,西区,61040,29076,31964,28556,1999-04-01
82,港区,88123,43670,44453,37675,1999-04-01
83,大正区,76031,37974,38057,30778,1999-04-01
84,天王寺区,56813,26581,30232,25429,1999-04-01
85,浪速区,49792,25722,24070,28513,1999-04-01
86,西淀川区,91613,45744,45869,37635,1999-04-01
87,淀川区,161519,80678,80841,77666,1999-04-01
88,東淀川区,184337,92206,92131,87191,1999-04-01
89,東成区,78432,37641,40791,33846,1999-04-01
90,生野区,144826,69152,75674,59253,1999-04-01
91,旭区,100400,48502,51898,44165,1999-04-01
92,城東区,156816,75675,81141,66993,1999-04-01
93,鶴見区,100499,49395,51104,38007,1999-04-01
94,阿倍野区,103122,47995,55127,44575,1999-04-01
95,住之江区,136611,66392,70219,53820,1999-04-01
96,住吉区,161254,76757,84497,71307,1999-04-01
97,東住吉区,139919,66786,73133,59611,1999-04-01
98,平野区,201986,97822,104164,79981,1999-04-01
99,西成区,137885,78583,59302,74445,1999-04-01
100,大阪市,2595492,1272466,1323026,1150053,1999-05-01
101,北区,89890,43296,46594,44903,1999-05-01
102,都島区,97573,47869,49704,42859,1999-05-01
103,福島区,55216,26347,28869,24473,1999-05-01
104,此花区,65719,32655,33064,27017,1999-05-01
105,中央区,53716,24840,28876,27810,1999-05-01
106,西区,61339,29215,32124,28696,1999-05-01
107,港区,88041,43622,44419,37680,1999-05-01
108,大正区,75955,37932,38023,30837,1999-05-01
109,天王寺区,57155,26747,30408,25672,1999-05-01
110,浪速区,49923,25799,24124,28682,1999-05-01
111,西淀川区,91707,45790,45917,37820,1999-05-01
112,淀川区,161865,80851,81014,78113,1999-05-01
113,東淀川区,184817,92434,92383,87691,1999-05-01
114,東成区,78546,37697,40849,33917,1999-05-01
115,生野区,144799,69136,75663,59355,1999-05-01
116,旭区,100436,48519,51917,44400,1999-05-01
117,城東区,156907,75710,81197,67147,1999-05-01
118,鶴見区,100607,49443,51164,38131,1999-05-01
119,阿倍野区,103371,48104,55267,44801,1999-05-01
120,住之江区,136580,66374,70206,53959,1999-05-01
121,住吉区,161311,76770,84541,71498,1999-05-01
122,東住吉区,140012,66824,73188,59741,1999-05-01
123,平野区,202041,97838,104203,80148,1999-05-01
124,西成区,137966,78654,59312,74703,1999-05-01
125,大阪市,2595746,1272537,1323209,1151265,1999-06-01
126,北区,90137,43424,46713,45093,1999-06-01
127,都島区,97625,47895,49730,42916,1999-06-01
128,福島区,55229,26349,28880,24502,1999-06-01
129,此花区,65648,32612,33036,26991,1999-06-01
130,中央区,53819,24891,28928,27897,1999-06-01
131,西区,61563,29318,32245,28826,1999-06-01
132,港区,87961,43576,44385,37665,1999-06-01
133,大正区,75875,37888,37987,30835,1999-06-01
134,天王寺区,57152,26752,30400,25713,1999-06-01
135,浪速区,49889,25792,24097,28710,1999-06-01
136,西淀川区,91786,45828,45958,37903,1999-06-01
137,淀川区,161878,80857,81021,78242,1999-06-01
138,東淀川区,184923,92474,92449,87782,1999-06-01
139,東成区,78506,37679,40827,33937,1999-06-01
140,生野区,144677,69075,75602,59357,1999-06-01
141,旭区,100345,48474,51871,44384,1999-06-01
142,城東区,156897,75697,81200,67168,1999-06-01
143,鶴見区,100603,49436,51167,38185,1999-06-01
144,阿倍野区,103319,48073,55246,44812,1999-06-01
145,住之江区,136553,66358,70195,53972,1999-06-01
146,住吉区,161325,76764,84561,71566,1999-06-01
147,東住吉区,140061,66840,73221,59822,1999-06-01
148,平野区,202061,97836,104225,80210,1999-06-01
149,西成区,137914,78649,59265,74777,1999-06-01
150,大阪市,2595545,1272387,1323158,1152150,1999-07-01
151,北区,90230,43478,46752,45239,1999-07-01
152,都島区,97646,47906,49740,42950,1999-07-01
153,福島区,55225,26343,28882,24531,1999-07-01
154,此花区,65578,32569,33009,26965,1999-07-01
155,中央区,53863,24914,28949,27971,1999-07-01
156,西区,61696,29378,32318,28924,1999-07-01
157,港区,87960,43569,44391,37696,1999-07-01
158,大正区,75816,37855,37961,30830,1999-07-01
159,天王寺区,57213,26786,30427,25771,1999-07-01
160,浪速区,49873,25793,24080,28787,1999-07-01
161,西淀川区,91813,45840,45973,37966,1999-07-01
162,淀川区,161929,80883,81046,78349,1999-07-01
163,東淀川区,184951,92475,92476,87845,1999-07-01
164,東成区,78473,37665,40808,33957,1999-07-01
165,生野区,144505,68989,75516,59358,1999-07-01
166,旭区,100267,48435,51832,44378,1999-07-01
167,城東区,156861,75671,81190,67188,1999-07-01
168,鶴見区,100722,49489,51233,38240,1999-07-01
169,阿倍野区,103241,48030,55211,44790,1999-07-01
170,住之江区,136451,66305,70146,53947,1999-07-01
171,住吉区,161298,76738,84560,71610,1999-07-01
172,東住吉区,140025,66816,73209,59848,1999-07-01
173,平野区,202063,97825,104238,80233,1999-07-01
174,西成区,137846,78635,59211,74777,1999-07-01
175,大阪市,2595523,1272313,1323210,1153011,1999-08-01
176,北区,90270,43506,46764,45370,1999-08-01
177,都島区,97595,47882,49713,42974,1999-08-01
178,福島区,55209,26332,28877,24542,1999-08-01
179,此花区,65618,32581,33037,27020,1999-08-01
180,中央区,53958,24961,28997,28052,1999-08-01
181,西区,61836,29441,32395,29031,1999-08-01
182,港区,87969,43566,44403,37743,1999-08-01
183,大正区,75782,37835,37947,30833,1999-08-01
184,天王寺区,57413,26886,30527,25874,1999-08-01
185,浪速区,49832,25782,24050,28797,1999-08-01
186,西淀川区,91723,45794,45929,37968,1999-08-01
187,淀川区,161997,80918,81079,78460,1999-08-01
188,東淀川区,184917,92445,92472,87836,1999-08-01
189,東成区,78569,37712,40857,33960,1999-08-01
190,生野区,144335,68905,75430,59319,1999-08-01
191,旭区,100266,48433,51833,44406,1999-08-01
192,城東区,156833,75649,81184,67241,1999-08-01
193,鶴見区,100786,49516,51270,38276,1999-08-01
194,阿倍野区,103192,48000,55192,44813,1999-08-01
195,住之江区,136401,66278,70123,53985,1999-08-01
196,住吉区,161306,76728,84578,71628,1999-08-01
197,東住吉区,139930,66763,73167,59850,1999-08-01
198,平野区,202097,97830,104267,80280,1999-08-01
199,西成区,137689,78570,59119,74753,1999-08-01
200,大阪市,2595552,1272276,1323276,1153820,1999-09-01
201,北区,90564,43656,46908,45570,1999-09-01
202,都島区,97531,47851,49680,42948,1999-09-01
203,福島区,55235,26340,28895,24555,1999-09-01
204,此花区,65760,32643,33117,27158,1999-09-01
205,中央区,54029,24997,29032,28142,1999-09-01
206,西区,61916,29476,32440,29103,1999-09-01
207,港区,87853,43502,44351,37712,1999-09-01
208,大正区,75795,37837,37958,30861,1999-09-01
209,天王寺区,57516,26940,30576,25927,1999-09-01
210,浪速区,49896,25825,24071,28861,1999-09-01
211,西淀川区,91710,45786,45924,37995,1999-09-01
212,淀川区,162016,80927,81089,78527,1999-09-01
213,東淀川区,184832,92390,92442,87855,1999-09-01
214,東成区,78575,37717,40858,33973,1999-09-01
215,生野区,144165,68821,75344,59318,1999-09-01
216,旭区,100165,48383,51782,44420,1999-09-01
217,城東区,156789,75620,81169,67215,1999-09-01
218,鶴見区,101054,49642,51412,38378,1999-09-01
219,阿倍野区,103164,47980,55184,44794,1999-09-01
220,住之江区,136158,66156,70002,53954,1999-09-01
221,住吉区,161297,76711,84586,71654,1999-09-01
222,東住吉区,139810,66699,73111,59826,1999-09-01
223,平野区,202107,97824,104283,80318,1999-09-01
224,西成区,137615,78553,59062,74756,1999-09-01
225,大阪市,2595155,1272025,1323130,1154482,1999-10-01
226,北区,90638,43701,46937,45635,1999-10-01
227,都島区,97502,47838,49664,42961,1999-10-01
228,福島区,55228,26333,28895,24556,1999-10-01
229,此花区,65750,32630,33120,27191,1999-10-01
230,中央区,54063,25016,29047,28198,1999-10-01
231,西区,62009,29517,32492,29176,1999-10-01
232,港区,87709,43424,44285,37693,1999-10-01
233,大正区,75785,37829,37956,30881,1999-10-01
234,天王寺区,57624,26996,30628,26013,1999-10-01
235,浪速区,49921,25847,24074,28914,1999-10-01
236,西淀川区,91714,45787,45927,38036,1999-10-01
237,淀川区,162073,80956,81117,78649,1999-10-01
238,東淀川区,184742,92332,92410,87835,1999-10-01
239,東成区,78600,37730,40870,34001,1999-10-01
240,生野区,144051,68763,75288,59318,1999-10-01
241,旭区,100094,48348,51746,44414,1999-10-01
242,城東区,156710,75573,81137,67208,1999-10-01
243,鶴見区,101081,49650,51431,38396,1999-10-01
244,阿倍野区,103184,47983,55201,44809,1999-10-01
245,住之江区,136072,66111,69961,53952,1999-10-01
246,住吉区,161221,76661,84560,71639,1999-10-01
247,東住吉区,139801,66687,73114,59852,1999-10-01
248,平野区,202077,97798,104279,80356,1999-10-01
249,西成区,137506,78515,58991,74799,1999-10-01
250,大阪市,2595155,1271957,1323198,1155197,1999-11-01
251,北区,90639,43710,46929,45676,1999-11-01
252,都島区,97401,47789,49612,42933,1999-11-01
253,福島区,55248,26339,28909,24583,1999-11-01
254,此花区,65698,32596,33102,27203,1999-11-01
255,中央区,54170,25069,29101,28232,1999-11-01
256,西区,62123,29568,32555,29258,1999-11-01
257,港区,87633,43379,44254,37704,1999-11-01
258,大正区,75693,37779,37914,30876,1999-11-01
259,天王寺区,57776,27073,30703,26098,1999-11-01
260,浪速区,49931,25862,24069,28956,1999-11-01
261,西淀川区,91637,45747,45890,38023,1999-11-01
262,淀川区,162139,80989,81150,78738,1999-11-01
263,東淀川区,184599,92248,92351,87803,1999-11-01
264,東成区,78611,37737,40874,34011,1999-11-01
265,生野区,143955,68714,75241,59336,1999-11-01
266,旭区,100009,48305,51704,44348,1999-11-01
267,城東区,157124,75764,81360,67468,1999-11-01
268,鶴見区,101110,49659,51451,38442,1999-11-01
269,阿倍野区,103275,48018,55257,44866,1999-11-01
270,住之江区,135911,66030,69881,53939,1999-11-01
271,住吉区,161146,76612,84534,71640,1999-11-01
272,東住吉区,139886,66721,73165,59901,1999-11-01
273,平野区,202027,97762,104265,80383,1999-11-01
274,西成区,137414,78487,58927,74780,1999-11-01
275,大阪市,2595428,1272032,1323396,1156074,1999-12-01
276,北区,90781,43788,46993,45818,1999-12-01
277,都島区,97362,47771,49591,42919,1999-12-01
278,福島区,55355,26386,28969,24636,1999-12-01
279,此花区,65614,32546,33068,27180,1999-12-01
280,中央区,54177,25075,29102,28233,1999-12-01
281,西区,62308,29652,32656,29374,1999-12-01
282,港区,87574,43343,44231,37748,1999-12-01
283,大正区,75678,37768,37910,30902,1999-12-01
284,天王寺区,57848,27113,30735,26181,1999-12-01
285,浪速区,49925,25869,24056,28855,1999-12-01
286,西淀川区,91602,45729,45873,38047,1999-12-01
287,淀川区,162154,80997,81157,78824,1999-12-01
288,東淀川区,184552,92212,92340,87831,1999-12-01
289,東成区,78684,37773,40911,34045,1999-12-01
290,生野区,143799,68637,75162,59350,1999-12-01
291,旭区,99950,48276,51674,44352,1999-12-01
292,城東区,157129,75758,81371,67486,1999-12-01
293,鶴見区,101193,49695,51498,38477,1999-12-01
294,阿倍野区,103342,48042,55300,44960,1999-12-01
295,住之江区,135993,66067,69926,54039,1999-12-01
296,住吉区,161153,76602,84551,71659,1999-12-01
297,東住吉区,139998,66767,73231,59994,1999-12-01
298,平野区,201925,97701,104224,80417,1999-12-01
299,西成区,137332,78465,58867,74747,1999-12-01
