,area,total,men,women,household,date
0,大阪市,2669671,1294890,1374781,1325034,2012-01-01
1,北区,112990,54213,58777,66898,2012-01-01
2,都島区,102999,49673,53326,50279,2012-01-01
3,福島区,69107,32654,36453,35333,2012-01-01
4,此花区,66304,32314,33990,29884,2012-01-01
5,中央区,81292,38103,43189,51066,2012-01-01
6,西区,85002,40221,44781,48165,2012-01-01
7,港区,84152,41235,42917,40569,2012-01-01
8,大正区,68432,33520,34912,30250,2012-01-01
9,天王寺区,71211,33016,38195,35444,2012-01-01
10,浪速区,63393,32168,31225,43446,2012-01-01
11,西淀川区,97258,48144,49114,43396,2012-01-01
12,淀川区,172503,85335,87168,91427,2012-01-01
13,東淀川区,176684,86932,89752,92081,2012-01-01
14,東成区,80565,38585,41980,39156,2012-01-01
15,生野区,132703,63743,68960,63031,2012-01-01
16,旭区,92078,44024,48054,43722,2012-01-01
17,城東区,165137,79115,86022,75953,2012-01-01
18,鶴見区,111376,53350,58026,45415,2012-01-01
19,阿倍野区,106357,48917,57440,49503,2012-01-01
20,住之江区,126319,60569,65750,56569,2012-01-01
21,住吉区,155315,72939,82376,73515,2012-01-01
22,東住吉区,129415,61246,68169,59342,2012-01-01
23,平野区,199436,94656,104780,87039,2012-01-01
24,西成区,119643,70218,49425,73551,2012-01-01
25,大阪市,2668847,1294554,1374293,1324435,2012-02-01
26,北区,113117,54272,58845,66956,2012-02-01
27,都島区,102987,49678,53309,50268,2012-02-01
28,福島区,69096,32655,36441,35325,2012-02-01
29,此花区,66281,32306,33975,29867,2012-02-01
30,中央区,81329,38136,43193,51157,2012-02-01
31,西区,85126,40290,44836,48175,2012-02-01
32,港区,84022,41172,42850,40534,2012-02-01
33,大正区,68399,33498,34901,30218,2012-02-01
34,天王寺区,71324,33084,38240,35525,2012-02-01
35,浪速区,63397,32168,31229,43344,2012-02-01
36,西淀川区,97217,48088,49129,43354,2012-02-01
37,淀川区,172442,85328,87114,91348,2012-02-01
38,東淀川区,176633,86946,89687,92029,2012-02-01
39,東成区,80489,38543,41946,39084,2012-02-01
40,生野区,132563,63652,68911,62952,2012-02-01
41,旭区,92088,44062,48026,43728,2012-02-01
42,城東区,165178,79125,86053,75937,2012-02-01
43,鶴見区,111371,53358,58013,45408,2012-02-01
44,阿倍野区,106215,48871,57344,49462,2012-02-01
45,住之江区,126241,60545,65696,56573,2012-02-01
46,住吉区,155189,72864,82325,73396,2012-02-01
47,東住吉区,129353,61236,68117,59266,2012-02-01
48,平野区,199391,94625,104766,87060,2012-02-01
49,西成区,119399,70052,49347,73469,2012-02-01
50,大阪市,2668054,1294003,1374051,1324178,2012-03-01
51,北区,113189,54301,58888,66998,2012-03-01
52,都島区,103021,49697,53324,50267,2012-03-01
53,福島区,69106,32665,36441,35324,2012-03-01
54,此花区,66279,32312,33967,29852,2012-03-01
55,中央区,81410,38147,43263,51237,2012-03-01
56,西区,85202,40303,44899,48226,2012-03-01
57,港区,83969,41142,42827,40539,2012-03-01
58,大正区,68292,33454,34838,30183,2012-03-01
59,天王寺区,71395,33109,38286,35558,2012-03-01
60,浪速区,63451,32201,31250,43390,2012-03-01
61,西淀川区,97150,48039,49111,43300,2012-03-01
62,淀川区,172405,85292,87113,91310,2012-03-01
63,東淀川区,176608,86960,89648,92011,2012-03-01
64,東成区,80520,38532,41988,39108,2012-03-01
65,生野区,132459,63621,68838,62979,2012-03-01
66,旭区,91988,44001,47987,43652,2012-03-01
67,城東区,165060,79061,85999,75868,2012-03-01
68,鶴見区,111414,53354,58060,45445,2012-03-01
69,阿倍野区,106231,48875,57356,49462,2012-03-01
70,住之江区,126132,60486,65646,56570,2012-03-01
71,住吉区,155126,72861,82265,73274,2012-03-01
72,東住吉区,129160,61124,68036,59193,2012-03-01
73,平野区,199276,94546,104730,87073,2012-03-01
74,西成区,119211,69920,49291,73359,2012-03-01
75,大阪市,2668288,1293400,1374888,1326698,2012-04-01
76,北区,113484,54422,59062,67378,2012-04-01
77,都島区,103418,49822,53596,50433,2012-04-01
78,福島区,69149,32643,36506,35418,2012-04-01
79,此花区,66291,32307,33984,29879,2012-04-01
80,中央区,81715,38222,43493,51534,2012-04-01
81,西区,85449,40405,45044,48506,2012-04-01
82,港区,83831,41047,42784,40543,2012-04-01
83,大正区,68131,33363,34768,30140,2012-04-01
84,天王寺区,71628,33155,38473,35781,2012-04-01
85,浪速区,63647,32293,31354,43503,2012-04-01
86,西淀川区,97021,47979,49042,43322,2012-04-01
87,淀川区,172371,85238,87133,91512,2012-04-01
88,東淀川区,176860,87017,89843,92394,2012-04-01
89,東成区,80512,38512,42000,39206,2012-04-01
90,生野区,132389,63533,68856,63065,2012-04-01
91,旭区,91959,43964,47995,43656,2012-04-01
92,城東区,164926,78952,85974,75949,2012-04-01
93,鶴見区,111247,53257,57990,45448,2012-04-01
94,阿倍野区,106289,48907,57382,49541,2012-04-01
95,住之江区,125907,60368,65539,56593,2012-04-01
96,住吉区,154996,72771,82225,73275,2012-04-01
97,東住吉区,128953,60978,67975,59199,2012-04-01
98,平野区,199163,94491,104672,87191,2012-04-01
99,西成区,118952,69754,49198,73232,2012-04-01
100,大阪市,2672357,1295620,1376737,1330090,2012-05-01
101,北区,113924,54680,59244,67799,2012-05-01
102,都島区,103915,50066,53849,50696,2012-05-01
103,福島区,69369,32755,36614,35600,2012-05-01
104,此花区,66304,32304,34000,29927,2012-05-01
105,中央区,82136,38444,43692,51903,2012-05-01
106,西区,85693,40498,45195,48701,2012-05-01
107,港区,83777,41028,42749,40554,2012-05-01
108,大正区,68096,33338,34758,30149,2012-05-01
109,天王寺区,72017,33381,38636,35976,2012-05-01
110,浪速区,63931,32460,31471,43698,2012-05-01
111,西淀川区,97134,48046,49088,43420,2012-05-01
112,淀川区,172701,85434,87267,91773,2012-05-01
113,東淀川区,177134,87182,89952,92643,2012-05-01
114,東成区,80641,38589,42052,39327,2012-05-01
115,生野区,132480,63555,68925,63171,2012-05-01
116,旭区,92030,44019,48011,43715,2012-05-01
117,城東区,165054,79021,86033,76050,2012-05-01
118,鶴見区,111454,53357,58097,45592,2012-05-01
119,阿倍野区,106453,48995,57458,49657,2012-05-01
120,住之江区,125944,60401,65543,56687,2012-05-01
121,住吉区,155126,72834,82292,73363,2012-05-01
122,東住吉区,128959,61007,67952,59208,2012-05-01
123,平野区,199246,94558,104688,87311,2012-05-01
124,西成区,118839,69668,49171,73170,2012-05-01
125,大阪市,2673340,1296197,1377143,1331179,2012-06-01
126,北区,114176,54822,59354,67995,2012-06-01
127,都島区,104065,50155,53910,50778,2012-06-01
128,福島区,69438,32806,36632,35640,2012-06-01
129,此花区,66377,32319,34058,29948,2012-06-01
130,中央区,82372,38587,43785,52093,2012-06-01
131,西区,85955,40619,45336,48846,2012-06-01
132,港区,83827,41081,42746,40562,2012-06-01
133,大正区,68024,33305,34719,30135,2012-06-01
134,天王寺区,72133,33444,38689,36069,2012-06-01
135,浪速区,64046,32506,31540,43827,2012-06-01
136,西淀川区,97150,48039,49111,43453,2012-06-01
137,淀川区,172792,85514,87278,91897,2012-06-01
138,東淀川区,177232,87229,90003,92651,2012-06-01
139,東成区,80608,38577,42031,39301,2012-06-01
140,生野区,132454,63545,68909,63230,2012-06-01
141,旭区,91999,43990,48009,43701,2012-06-01
142,城東区,165034,78994,86040,75992,2012-06-01
143,鶴見区,111454,53363,58091,45614,2012-06-01
144,阿倍野区,106498,49022,57476,49720,2012-06-01
145,住之江区,125817,60356,65461,56671,2012-06-01
146,住吉区,154995,72740,82255,73313,2012-06-01
147,東住吉区,128990,61030,67960,59192,2012-06-01
148,平野区,199219,94570,104649,87377,2012-06-01
149,西成区,118685,69584,49101,73174,2012-06-01
150,大阪市,2673229,1296105,1377124,1331492,2012-07-01
151,北区,114224,54804,59420,68045,2012-07-01
152,都島区,104117,50194,53923,50818,2012-07-01
153,福島区,69506,32841,36665,35673,2012-07-01
154,此花区,66456,32371,34085,29997,2012-07-01
155,中央区,82575,38647,43928,52196,2012-07-01
156,西区,86041,40662,45379,48904,2012-07-01
157,港区,83733,41017,42716,40533,2012-07-01
158,大正区,67964,33272,34692,30118,2012-07-01
159,天王寺区,72188,33486,38702,36102,2012-07-01
160,浪速区,64127,32532,31595,43883,2012-07-01
161,西淀川区,97068,48006,49062,43426,2012-07-01
162,淀川区,172815,85521,87294,91904,2012-07-01
163,東淀川区,177222,87239,89983,92666,2012-07-01
164,東成区,80590,38578,42012,39274,2012-07-01
165,生野区,132399,63507,68892,63249,2012-07-01
166,旭区,91982,43987,47995,43709,2012-07-01
167,城東区,165015,78968,86047,75994,2012-07-01
168,鶴見区,111399,53349,58050,45634,2012-07-01
169,阿倍野区,106511,49047,57464,49725,2012-07-01
170,住之江区,125777,60349,65428,56690,2012-07-01
171,住吉区,154982,72731,82251,73271,2012-07-01
172,東住吉区,128851,60952,67899,59158,2012-07-01
173,平野区,199167,94565,104602,87406,2012-07-01
174,西成区,118520,69480,49040,73117,2012-07-01
175,大阪市,2673569,1296293,1377276,1331918,2012-08-01
176,北区,114494,55015,59479,68238,2012-08-01
177,都島区,104156,50197,53959,50843,2012-08-01
178,福島区,69664,32895,36769,35761,2012-08-01
179,此花区,66449,32369,34080,30014,2012-08-01
180,中央区,82772,38721,44051,52292,2012-08-01
181,西区,86084,40681,45403,48921,2012-08-01
182,港区,83624,40960,42664,40486,2012-08-01
183,大正区,67911,33257,34654,30098,2012-08-01
184,天王寺区,72232,33526,38706,36112,2012-08-01
185,浪速区,64218,32576,31642,43944,2012-08-01
186,西淀川区,97043,47981,49062,43442,2012-08-01
187,淀川区,172848,85571,87277,91958,2012-08-01
188,東淀川区,177183,87218,89965,92637,2012-08-01
189,東成区,80548,38578,41970,39277,2012-08-01
190,生野区,132366,63466,68900,63255,2012-08-01
191,旭区,92027,44016,48011,43725,2012-08-01
192,城東区,164941,78926,86015,75957,2012-08-01
193,鶴見区,111332,53326,58006,45614,2012-08-01
194,阿倍野区,106481,49037,57444,49706,2012-08-01
195,住之江区,125868,60400,65468,56758,2012-08-01
196,住吉区,154882,72653,82229,73176,2012-08-01
197,東住吉区,128856,60972,67884,59136,2012-08-01
198,平野区,199148,94555,104593,87462,2012-08-01
199,西成区,118442,69397,49045,73106,2012-08-01
200,大阪市,2674115,1296818,1377297,1332218,2012-09-01
201,北区,114618,55083,59535,68306,2012-09-01
202,都島区,104124,50194,53930,50785,2012-09-01
203,福島区,69815,32969,36846,35824,2012-09-01
204,此花区,66508,32416,34092,30070,2012-09-01
205,中央区,82996,38842,44154,52423,2012-09-01
206,西区,86270,40788,45482,48972,2012-09-01
207,港区,83492,40915,42577,40432,2012-09-01
208,大正区,67793,33223,34570,30060,2012-09-01
209,天王寺区,72257,33570,38687,36140,2012-09-01
210,浪速区,64287,32649,31638,44014,2012-09-01
211,西淀川区,97025,47961,49064,43412,2012-09-01
212,淀川区,172906,85640,87266,91960,2012-09-01
213,東淀川区,177209,87234,89975,92648,2012-09-01
214,東成区,80603,38595,42008,39311,2012-09-01
215,生野区,132327,63490,68837,63255,2012-09-01
216,旭区,92056,44023,48033,43757,2012-09-01
217,城東区,164910,78927,85983,75913,2012-09-01
218,鶴見区,111292,53296,57996,45598,2012-09-01
