,area,total,men,women,household,date
0,大阪市,2601892,1277801,1324091,1104028,1996-01-01
1,北区,85630,40908,44722,39155,1996-01-01
2,都島区,98054,48074,49980,41590,1996-01-01
3,福島区,55023,26410,28613,23116,1996-01-01
4,此花区,68486,34371,34115,27517,1996-01-01
5,中央区,52887,24331,28556,25300,1996-01-01
6,西区,58815,28146,30669,26084,1996-01-01
7,港区,89285,44516,44769,36677,1996-01-01
8,大正区,78273,39242,39031,30404,1996-01-01
9,天王寺区,55685,25831,29854,23852,1996-01-01
10,浪速区,48973,24923,24050,25958,1996-01-01
11,西淀川区,91047,45510,45537,36085,1996-01-01
12,淀川区,162037,80923,81114,74234,1996-01-01
13,東淀川区,186179,93629,92550,84784,1996-01-01
14,東成区,78462,37598,40864,32554,1996-01-01
15,生野区,148836,71195,77641,58462,1996-01-01
16,旭区,102458,49543,52915,43577,1996-01-01
17,城東区,155717,75472,80245,64220,1996-01-01
18,鶴見区,98043,48386,49657,35794,1996-01-01
19,阿倍野区,102696,48065,54631,43043,1996-01-01
20,住之江区,138826,67595,71231,52388,1996-01-01
21,住吉区,162656,77947,84709,70218,1996-01-01
22,東住吉区,141532,67837,73695,58413,1996-01-01
23,平野区,200636,97612,103024,76631,1996-01-01
24,西成区,141656,79737,61919,73972,1996-01-01
25,大阪市,2601265,1277441,1323824,1104433,1996-02-01
26,北区,85644,40923,44721,39222,1996-02-01
27,都島区,98078,48086,49992,41639,1996-02-01
28,福島区,54981,26385,28596,23120,1996-02-01
29,此花区,68474,34356,34118,27504,1996-02-01
30,中央区,52793,24291,28502,25319,1996-02-01
31,西区,58837,28153,30684,26109,1996-02-01
32,港区,89225,44480,44745,36680,1996-02-01
33,大正区,78195,39199,38996,30385,1996-02-01
34,天王寺区,55638,25815,29823,23863,1996-02-01
35,浪速区,49019,24956,24063,26046,1996-02-01
36,西淀川区,91063,45517,45546,36086,1996-02-01
37,淀川区,161960,80885,81075,74224,1996-02-01
38,東淀川区,186124,93589,92535,84783,1996-02-01
39,東成区,78530,37632,40898,32573,1996-02-01
40,生野区,148802,71175,77627,58472,1996-02-01
41,旭区,102449,49538,52911,43586,1996-02-01
42,城東区,155661,75436,80225,64200,1996-02-01
43,鶴見区,98113,48415,49698,35816,1996-02-01
44,阿倍野区,102694,48057,54637,43069,1996-02-01
45,住之江区,138797,67577,71220,52425,1996-02-01
46,住吉区,162623,77918,84705,70207,1996-02-01
47,東住吉区,141492,67811,73681,58414,1996-02-01
48,平野区,200531,97549,102982,76704,1996-02-01
49,西成区,141542,79698,61844,73987,1996-02-01
50,大阪市,2600322,1276926,1323396,1104887,1996-03-01
51,北区,85557,40889,44668,39270,1996-03-01
52,都島区,98074,48085,49989,41665,1996-03-01
53,福島区,54955,26369,28586,23113,1996-03-01
54,此花区,68426,34324,34102,27479,1996-03-01
55,中央区,52792,24294,28498,25358,1996-03-01
56,西区,58920,28189,30731,26164,1996-03-01
57,港区,89180,44450,44730,36686,1996-03-01
58,大正区,78084,39140,38944,30374,1996-03-01
59,天王寺区,55651,25827,29824,23884,1996-03-01
60,浪速区,49051,24982,24069,26140,1996-03-01
61,西淀川区,91041,45504,45537,36088,1996-03-01
62,淀川区,161838,80825,81013,74202,1996-03-01
63,東淀川区,185940,93483,92457,84726,1996-03-01
64,東成区,78508,37623,40885,32562,1996-03-01
65,生野区,148672,71110,77562,58459,1996-03-01
66,旭区,102393,49509,52884,43568,1996-03-01
67,城東区,155696,75445,80251,64287,1996-03-01
68,鶴見区,98122,48414,49708,35846,1996-03-01
69,阿倍野区,102664,48036,54628,43041,1996-03-01
70,住之江区,138822,67586,71236,52508,1996-03-01
71,住吉区,162568,77878,84690,70226,1996-03-01
72,東住吉区,141379,67749,73630,58432,1996-03-01
73,平野区,200521,97533,102988,76774,1996-03-01
74,西成区,141468,79682,61786,74035,1996-03-01
75,大阪市,2595583,1274572,1321011,1105913,1996-04-01
76,北区,85429,40837,44592,39357,1996-04-01
77,都島区,97977,48038,49939,41795,1996-04-01
78,福島区,54885,26332,28553,23163,1996-04-01
79,此花区,68251,34227,34024,27475,1996-04-01
80,中央区,52655,24234,28421,25311,1996-04-01
81,西区,58780,28119,30661,26201,1996-04-01
