,area,total,men,women,household,date
0,大阪市,2635662,1280835,1354827,1262151,2007-01-01
1,北区,103085,49482,53603,57644,2007-01-01
2,都島区,100735,48872,51863,47297,2007-01-01
3,福島区,61667,29217,32450,30284,2007-01-01
4,此花区,64331,31238,33093,28303,2007-01-01
5,中央区,69586,32268,37318,42583,2007-01-01
6,西区,75269,35661,39608,43088,2007-01-01
7,港区,83762,40978,42784,38619,2007-01-01
8,大正区,72466,35659,36807,30979,2007-01-01
9,天王寺区,64826,30094,34732,31487,2007-01-01
10,浪速区,56553,28809,27744,36218,2007-01-01
11,西淀川区,96370,47669,48701,41575,2007-01-01
12,淀川区,170049,84019,86030,86621,2007-01-01
13,東淀川区,177344,88201,89143,90095,2007-01-01
14,東成区,79213,37711,41502,36918,2007-01-01
15,生野区,136879,65404,71475,61711,2007-01-01
16,旭区,94568,45186,49382,43703,2007-01-01
17,城東区,161815,77334,84481,72573,2007-01-01
18,鶴見区,107784,52039,55745,43062,2007-01-01
19,阿倍野区,107115,49672,57443,48107,2007-01-01
20,住之江区,129823,62358,67465,55513,2007-01-01
21,住吉区,158203,74372,83831,73151,2007-01-01
22,東住吉区,134134,63554,70580,60425,2007-01-01
23,平野区,200520,95574,104946,84555,2007-01-01
24,西成区,129565,75464,54101,77640,2007-01-01
25,大阪市,2635507,1280676,1354831,1262342,2007-02-01
26,北区,103161,49530,53631,57723,2007-02-01
27,都島区,100736,48890,51846,47330,2007-02-01
28,福島区,61774,29272,32502,30329,2007-02-01
29,此花区,64313,31226,33087,28310,2007-02-01
30,中央区,69662,32305,37357,42641,2007-02-01
31,西区,75329,35665,39664,43048,2007-02-01
32,港区,83857,41014,42843,38667,2007-02-01
33,大正区,72368,35621,36747,30959,2007-02-01
34,天王寺区,64869,30108,34761,31479,2007-02-01
35,浪速区,56713,28885,27828,36318,2007-02-01
36,西淀川区,96395,47676,48719,41605,2007-02-01
37,淀川区,170030,84023,86007,86624,2007-02-01
38,東淀川区,177251,88129,89122,90046,2007-02-01
39,東成区,79304,37760,41544,36965,2007-02-01
40,生野区,136793,65363,71430,61706,2007-02-01
41,旭区,94556,45194,49362,43701,2007-02-01
42,城東区,161742,77307,84435,72551,2007-02-01
43,鶴見区,107839,52053,55786,43112,2007-02-01
44,阿倍野区,107108,49630,57478,48053,2007-02-01
45,住之江区,129748,62301,67447,55516,2007-02-01
46,住吉区,158120,74343,83777,73127,2007-02-01
47,東住吉区,134033,63514,70519,60396,2007-02-01
48,平野区,200545,95612,104933,84624,2007-02-01
49,西成区,129261,75255,54006,77512,2007-02-01
50,大阪市,2635379,1280487,1354892,1262936,2007-03-01
51,北区,103251,49575,53676,57817,2007-03-01
52,都島区,100769,48884,51885,47376,2007-03-01
53,福島区,61849,29300,32549,30371,2007-03-01
54,此花区,64272,31214,33058,28290,2007-03-01
55,中央区,69807,32354,37453,42681,2007-03-01
56,西区,75611,35782,39829,43175,2007-03-01
57,港区,83880,41043,42837,38684,2007-03-01
58,大正区,72329,35605,36724,30972,2007-03-01
59,天王寺区,65076,30159,34917,31483,2007-03-01
60,浪速区,56758,28916,27842,36416,2007-03-01
61,西淀川区,96426,47658,48768,41639,2007-03-01
62,淀川区,170024,84013,86011,86668,2007-03-01
63,東淀川区,177151,88105,89046,90051,2007-03-01
64,東成区,79276,37737,41539,36961,2007-03-01
65,生野区,136752,65345,71407,61781,2007-03-01
66,旭区,94491,45160,49331,43679,2007-03-01
67,城東区,161848,77366,84482,72662,2007-03-01
68,鶴見区,107697,51989,55708,43057,2007-03-01
69,阿倍野区,107069,49632,57437,48043,2007-03-01
70,住之江区,129652,62246,67406,55541,2007-03-01
71,住吉区,157996,74320,83676,73113,2007-03-01
72,東住吉区,133971,63498,70473,60437,2007-03-01
73,平野区,200531,95612,104919,84673,2007-03-01
74,西成区,128893,74974,53919,77366,2007-03-01
75,大阪市,2636402,1279166,1357236,1264854,2007-04-01
76,北区,103408,49574,53834,58137,2007-04-01
77,都島区,101779,49347,52432,48017,2007-04-01
78,福島区,62018,29344,32674,30618,2007-04-01
79,此花区,64138,31137,33001,28311,2007-04-01
80,中央区,70329,32527,37802,43059,2007-04-01
81,西区,76024,35967,40057,43488,2007-04-01
82,港区,83920,41039,42881,38807,2007-04-01
83,大正区,72147,35501,36646,30972,2007-04-01
84,天王寺区,65138,30171,34967,31585,2007-04-01
85,浪速区,56923,28947,27976,36700,2007-04-01
86,西淀川区,96419,47639,48780,41739,2007-04-01
87,淀川区,169902,83907,85995,86933,2007-04-01
88,東淀川区,177112,87989,89123,90367,2007-04-01
89,東成区,79299,37768,41531,37060,2007-04-01
90,生野区,136701,65331,71370,61895,2007-04-01
91,旭区,94262,44990,49272,43654,2007-04-01
92,城東区,162274,77503,84771,73036,2007-04-01
93,鶴見区,107877,52081,55796,43228,2007-04-01
94,阿倍野区,106994,49587,57407,48085,2007-04-01
95,住之江区,129303,62077,67226,55529,2007-04-01
96,住吉区,157764,74168,83596,73132,2007-04-01
97,東住吉区,133813,63414,70399,60523,2007-04-01
98,平野区,200189,95373,104816,84703,2007-04-01
99,西成区,128669,73785,54884,75276,2007-04-01
100,大阪市,2641139,1281588,1359551,1269492,2007-05-01
101,北区,103843,49791,54052,58512,2007-05-01
102,都島区,102084,49511,52573,48238,2007-05-01
103,福島区,62221,29448,32773,30812,2007-05-01
104,此花区,64170,31158,33012,28356,2007-05-01
105,中央区,70786,32755,38031,43412,2007-05-01
106,西区,76450,36148,40302,43807,2007-05-01
107,港区,84029,41090,42939,38936,2007-05-01
108,大正区,72162,35508,36654,31006,2007-05-01
109,天王寺区,65393,30271,35122,31766,2007-05-01
110,浪速区,57244,29093,28151,36972,2007-05-01
111,西淀川区,96454,47655,48799,41859,2007-05-01
112,淀川区,170252,84094,86158,87271,2007-05-01
113,東淀川区,177452,88182,89270,90731,2007-05-01
114,東成区,79393,37846,41547,37183,2007-05-01
115,生野区,136850,65384,71466,62001,2007-05-01
116,旭区,94305,44998,49307,43746,2007-05-01
117,城東区,162408,77598,84810,73206,2007-05-01
118,鶴見区,108266,52262,56004,43451,2007-05-01
119,阿倍野区,107200,49682,57518,48300,2007-05-01
120,住之江区,129321,62071,67250,55632,2007-05-01
121,住吉区,157989,74317,83672,73361,2007-05-01
122,東住吉区,133905,63458,70447,60630,2007-05-01
123,平野区,200296,95435,104861,84828,2007-05-01
124,西成区,128666,73833,54833,75476,2007-05-01
125,大阪市,2641895,1281878,1360017,1271405,2007-06-01
126,北区,103969,49868,54101,58697,2007-06-01
127,都島区,102093,49515,52578,48325,2007-06-01
128,福島区,62359,29541,32818,30950,2007-06-01
129,此花区,64150,31153,32997,28367,2007-06-01
130,中央区,70967,32858,38109,43602,2007-06-01
131,西区,76655,36244,40411,43991,2007-06-01
132,港区,84031,41094,42937,39018,2007-06-01
133,大正区,72141,35502,36639,31031,2007-06-01
134,天王寺区,65224,30195,35029,31751,2007-06-01
135,浪速区,57278,29130,28148,37201,2007-06-01
136,西淀川区,96501,47684,48817,41933,2007-06-01
137,淀川区,170272,84133,86139,87353,2007-06-01
138,東淀川区,177611,88228,89383,90895,2007-06-01
139,東成区,79427,37850,41577,37214,2007-06-01
140,生野区,136713,65304,71409,62046,2007-06-01
141,旭区,94352,45012,49340,43794,2007-06-01
142,城東区,162423,77607,84816,73252,2007-06-01
143,鶴見区,108411,52308,56103,43532,2007-06-01
144,阿倍野区,107445,49743,57702,48414,2007-06-01
145,住之江区,129337,62078,67259,55709,2007-06-01
146,住吉区,158019,74321,83698,73401,2007-06-01
147,東住吉区,133790,63354,70436,60564,2007-06-01
148,平野区,200266,95430,104836,84886,2007-06-01
149,西成区,128461,73726,54735,75479,2007-06-01
150,大阪市,2642015,1281801,1360214,1272266,2007-07-01
151,北区,103921,49838,54083,58699,2007-07-01
152,都島区,102084,49490,52594,48349,2007-07-01
153,福島区,62449,29584,32865,31021,2007-07-01
154,此花区,64153,31166,32987,28385,2007-07-01
155,中央区,71059,32918,38141,43684,2007-07-01
156,西区,76870,36342,40528,44098,2007-07-01
157,港区,84014,41084,42930,39045,2007-07-01
158,大正区,72110,35462,36648,31005,2007-07-01
159,天王寺区,65214,30166,35048,31748,2007-07-01
160,浪速区,57350,29173,28177,37313,2007-07-01
161,西淀川区,96581,47740,48841,41984,2007-07-01
162,淀川区,170224,84115,86109,87415,2007-07-01
163,東淀川区,177734,88281,89453,91022,2007-07-01
164,東成区,79353,37800,41553,37233,2007-07-01
165,生野区,136562,65240,71322,62043,2007-07-01
166,旭区,94350,45030,49320,43816,2007-07-01
167,城東区,162570,77682,84888,73325,2007-07-01
168,鶴見区,108499,52325,56174,43579,2007-07-01
169,阿倍野区,107493,49750,57743,48461,2007-07-01
170,住之江区,129252,62029,67223,55721,2007-07-01
171,住吉区,157961,74267,83694,73382,2007-07-01
172,東住吉区,133636,63288,70348,60550,2007-07-01
173,平野区,200260,95419,104841,84963,2007-07-01
174,西成区,128316,73612,54704,75425,2007-07-01
175,大阪市,2642330,1281742,1360588,1272790,2007-08-01
176,北区,104026,49832,54194,58676,2007-08-01
177,都島区,102155,49493,52662,48425,2007-08-01
178,福島区,62563,29632,32931,31112,2007-08-01
179,此花区,64178,31194,32984,28419,2007-08-01
180,中央区,71147,32977,38170,43735,2007-08-01
181,西区,76923,36372,40551,44107,2007-08-01
182,港区,84070,41094,42976,39110,2007-08-01
183,大正区,72010,35396,36614,30970,2007-08-01
184,天王寺区,65240,30175,35065,31774,2007-08-01
185,浪速区,57431,29197,28234,37443,2007-08-01
186,西淀川区,96605,47750,48855,42022,2007-08-01
187,淀川区,170154,84067,86087,87429,2007-08-01
188,東淀川区,177734,88222,89512,90956,2007-08-01
189,東成区,79386,37826,41560,37256,2007-08-01
190,生野区,136523,65242,71281,62049,2007-08-01
191,旭区,94277,44986,49291,43813,2007-08-01
192,城東区,162664,77783,84881,73383,2007-08-01
193,鶴見区,108703,52432,56271,43670,2007-08-01
194,阿倍野区,107511,49737,57774,48496,2007-08-01
195,住之江区,129167,62006,67161,55744,2007-08-01
196,住吉区,157851,74195,83656,73366,2007-08-01
197,東住吉区,133624,63271,70353,60552,2007-08-01
198,平野区,200264,95406,104858,84971,2007-08-01
199,西成区,128124,73457,54667,75312,2007-08-01
200,大阪市,2642454,1281856,1360598,1273660,2007-09-01
201,北区,104184,49893,54291,58772,2007-09-01
202,都島区,102084,49432,52652,48465,2007-09-01
203,福島区,62562,29660,32902,31130,2007-09-01
204,此花区,64199,31214,32985,28458,2007-09-01
205,中央区,71258,33067,38191,43842,2007-09-01
206,西区,77020,36420,40600,44144,2007-09-01
207,港区,84018,41076,42942,39129,2007-09-01
208,大正区,71950,35393,36557,30955,2007-09-01
209,天王寺区,65422,30267,35155,31857,2007-09-01
210,浪速区,57402,29177,28225,37526,2007-09-01
211,西淀川区,96578,47723,48855,42034,2007-09-01
212,淀川区,170180,84104,86076,87458,2007-09-01
213,東淀川区,177675,88164,89511,91008,2007-09-01
214,東成区,79381,37822,41559,37294,2007-09-01
215,生野区,136356,65186,71170,62056,2007-09-01
216,旭区,94206,44949,49257,43827,2007-09-01
217,城東区,162838,77919,84919,73523,2007-09-01
218,鶴見区,108762,52453,56309,43691,2007-09-01
219,阿倍野区,107456,49708,57748,48514,2007-09-01
220,住之江区,129226,62004,67222,55825,2007-09-01
221,住吉区,157812,74194,83618,73357,2007-09-01
222,東住吉区,133549,63248,70301,60545,2007-09-01
223,平野区,200363,95438,104925,85030,2007-09-01
224,西成区,127973,73345,54628,75220,2007-09-01
225,大阪市,2642854,1284596,1358258,1273724,2007-10-01
226,北区,104229,50068,54161,58880,2007-10-01
227,都島区,102046,49440,52606,48442,2007-10-01
228,福島区,62537,29663,32874,31102,2007-10-01
229,此花区,64460,31358,33102,28574,2007-10-01
230,中央区,71378,33290,38088,43917,2007-10-01
231,西区,77102,36461,40641,44138,2007-10-01
232,港区,84043,41107,42936,39191,2007-10-01
233,大正区,71874,35404,36470,30925,2007-10-01
234,天王寺区,65708,30445,35263,31998,2007-10-01
235,浪速区,57543,29323,28220,37664,2007-10-01
236,西淀川区,96624,47773,48851,42077,2007-10-01
237,淀川区,170078,84097,85981,87421,2007-10-01
238,東淀川区,177583,88175,89408,90919,2007-10-01
239,東成区,79354,37806,41548,37261,2007-10-01
240,生野区,136276,65148,71128,62061,2007-10-01
241,旭区,94136,44981,49155,43791,2007-10-01
242,城東区,162893,77956,84937,73560,2007-10-01
243,鶴見区,108931,52549,56382,43790,2007-10-01
244,阿倍野区,107402,49700,57702,48516,2007-10-01
245,住之江区,129279,62109,67170,55892,2007-10-01
246,住吉区,157760,74191,83569,73368,2007-10-01
247,東住吉区,133388,63202,70186,60507,2007-10-01
248,平野区,200439,95554,104885,85053,2007-10-01
249,西成区,127791,74796,52995,74677,2007-10-01
250,大阪市,2644418,1285362,1359056,1274419,2007-11-01
251,北区,104400,50165,54235,58941,2007-11-01
252,都島区,102032,49432,52600,48421,2007-11-01
253,福島区,62636,29679,32957,31151,2007-11-01
