,area,total,men,women,household,date
0,大阪市,2624348,1279390,1344958,1232927,2005-01-01
1,北区,98228,47381,50847,53386,2005-01-01
2,都島区,100058,48789,51269,46203,2005-01-01
3,福島区,59686,28307,31379,28799,2005-01-01
4,此花区,64476,31405,33071,27963,2005-01-01
5,中央区,64516,29891,34625,38262,2005-01-01
6,西区,71310,33884,37426,39919,2005-01-01
7,港区,83212,40787,42425,37351,2005-01-01
8,大正区,73697,36440,37257,30988,2005-01-01
9,天王寺区,63022,29341,33681,30127,2005-01-01
10,浪速区,53208,27271,25937,33367,2005-01-01
11,西淀川区,95516,47329,48187,40575,2005-01-01
12,淀川区,167829,83146,84683,84333,2005-01-01
13,東淀川区,179595,89517,90078,89367,2005-01-01
14,東成区,78925,37595,41330,36069,2005-01-01
15,生野区,139211,66429,72782,61357,2005-01-01
16,旭区,95820,45883,49937,43740,2005-01-01
17,城東区,160327,76774,83553,70880,2005-01-01
18,鶴見区,107126,51943,55183,42185,2005-01-01
19,阿倍野区,106892,49676,57216,47387,2005-01-01
20,住之江区,131821,63532,68289,55166,2005-01-01
21,住吉区,159339,75066,84273,72994,2005-01-01
22,東住吉区,135409,64261,71148,60148,2005-01-01
23,平野区,200882,96131,104751,83210,2005-01-01
24,西成区,134243,78612,55631,79151,2005-01-01
25,大阪市,2623105,1278638,1344467,1232647,2005-02-01
26,北区,98269,47399,50870,53375,2005-02-01
27,都島区,100000,48754,51246,46206,2005-02-01
28,福島区,59669,28297,31372,28813,2005-02-01
29,此花区,64418,31367,33051,27941,2005-02-01
30,中央区,64650,29953,34697,38395,2005-02-01
31,西区,71411,33932,37479,40067,2005-02-01
32,港区,83124,40737,42387,37336,2005-02-01
33,大正区,73618,36395,37223,30951,2005-02-01
34,天王寺区,62980,29316,33664,30156,2005-02-01
35,浪速区,53201,27260,25941,33374,2005-02-01
36,西淀川区,95530,47329,48201,40547,2005-02-01
37,淀川区,167761,83098,84663,84289,2005-02-01
38,東淀川区,179417,89427,89990,89217,2005-02-01
39,東成区,78865,37560,41305,36056,2005-02-01
40,生野区,139173,66412,72761,61321,2005-02-01
41,旭区,95717,45826,49891,43680,2005-02-01
42,城東区,160203,76706,83497,70829,2005-02-01
43,鶴見区,107110,51923,55187,42190,2005-02-01
44,阿倍野区,106977,49717,57260,47413,2005-02-01
45,住之江区,131716,63472,68244,55144,2005-02-01
46,住吉区,159318,75045,84273,72945,2005-02-01
47,東住吉区,135300,64205,71095,60126,2005-02-01
48,平野区,200758,96053,104705,83210,2005-02-01
49,西成区,133920,78455,55465,79066,2005-02-01
50,大阪市,2622879,1278390,1344489,1232982,2005-03-01
51,北区,98262,47393,50869,53255,2005-03-01
52,都島区,100062,48778,51284,46278,2005-03-01
53,福島区,59679,28300,31379,28824,2005-03-01
54,此花区,64146,31225,32921,27814,2005-03-01
55,中央区,64963,30098,34865,38636,2005-03-01
56,西区,71480,33965,37515,40228,2005-03-01
57,港区,83290,40812,42478,37461,2005-03-01
58,大正区,73540,36350,37190,30925,2005-03-01
59,天王寺区,63086,29360,33726,30221,2005-03-01
60,浪速区,53274,27289,25985,33446,2005-03-01
61,西淀川区,95553,47334,48219,40552,2005-03-01
62,淀川区,167888,83148,84740,84310,2005-03-01
63,東淀川区,179147,89290,89857,89134,2005-03-01
64,東成区,78825,37535,41290,36070,2005-03-01
65,生野区,139061,66358,72703,61302,2005-03-01
66,旭区,95614,45769,49845,43631,2005-03-01
67,城東区,160163,76679,83484,70829,2005-03-01
68,鶴見区,107186,51948,55238,42232,2005-03-01
69,阿倍野区,107035,49745,57290,47451,2005-03-01
70,住之江区,131631,63422,68209,55128,2005-03-01
71,住吉区,159351,75050,84301,72965,2005-03-01
72,東住吉区,135207,64156,71051,60105,2005-03-01
73,平野区,200720,96017,104703,83228,2005-03-01
74,西成区,133716,78369,55347,78957,2005-03-01
75,大阪市,2622773,1278203,1344570,1235048,2005-04-01
76,北区,98723,47614,51109,53675,2005-04-01
77,都島区,99857,48672,51185,46291,2005-04-01
78,福島区,59704,28310,31394,28836,2005-04-01
79,此花区,63984,31136,32848,27803,2005-04-01
80,中央区,65411,30305,35106,39082,2005-04-01
81,西区,71733,34085,37648,40604,2005-04-01
82,港区,83260,40791,42469,37525,2005-04-01
83,大正区,73462,36306,37156,30895,2005-04-01
84,天王寺区,63474,29536,33938,30459,2005-04-01
85,浪速区,53431,27362,26069,33581,2005-04-01
86,西淀川区,95374,47239,48135,40531,2005-04-01
87,淀川区,168534,83454,85080,84827,2005-04-01
88,東淀川区,178799,89115,89684,89242,2005-04-01
89,東成区,78973,37599,41374,36154,2005-04-01
90,生野区,138884,66274,72610,61331,2005-04-01
91,旭区,95397,45658,49739,43533,2005-04-01
92,城東区,160197,76686,83511,70973,2005-04-01
93,鶴見区,107178,51932,55246,42300,2005-04-01
94,阿倍野区,107039,49748,57291,47507,2005-04-01
95,住之江区,131269,63238,68031,54921,2005-04-01
96,住吉区,158973,74861,84112,72791,2005-04-01
97,東住吉区,134969,64038,70931,59984,2005-04-01
98,平野区,200587,95934,104653,83310,2005-04-01
99,西成区,133561,78310,55251,78893,2005-04-01
100,大阪市,2627653,1280433,1347220,1239652,2005-05-01
101,北区,99402,47939,51463,54211,2005-05-01
102,都島区,99956,48715,51241,46408,2005-05-01
103,福島区,59857,28381,31476,29006,2005-05-01
104,此花区,64035,31151,32884,27854,2005-05-01
105,中央区,65862,30514,35348,39437,2005-05-01
106,西区,72128,34272,37856,41016,2005-05-01
107,港区,83273,40791,42482,37623,2005-05-01
108,大正区,73447,36292,37155,30950,2005-05-01
109,天王寺区,63715,29643,34072,30647,2005-05-01
110,浪速区,53807,27546,26261,33821,2005-05-01
111,西淀川区,95513,47301,48212,40653,2005-05-01
112,淀川区,168899,83621,85278,85101,2005-05-01
113,東淀川区,179071,89249,89822,89543,2005-05-01
114,東成区,79066,37638,41428,36265,2005-05-01
115,生野区,138960,66311,72649,61481,2005-05-01
116,旭区,95456,45678,49778,43622,2005-05-01
117,城東区,160680,76909,83771,71271,2005-05-01
118,鶴見区,107305,51982,55323,42416,2005-05-01
119,阿倍野区,107582,50002,57580,47839,2005-05-01
120,住之江区,131222,63206,68016,54961,2005-05-01
121,住吉区,159204,74960,84244,73013,2005-05-01
122,東住吉区,135009,64052,70957,60069,2005-05-01
123,平野区,200691,95965,104726,83491,2005-05-01
124,西成区,133513,78315,55198,78954,2005-05-01
125,大阪市,2628577,1280731,1347846,1241495,2005-06-01
126,北区,99643,48054,51589,54445,2005-06-01
127,都島区,99995,48727,51268,46424,2005-06-01
128,福島区,59938,28417,31521,29092,2005-06-01
129,此花区,64021,31135,32886,27857,2005-06-01
130,中央区,66172,30657,35515,39717,2005-06-01
131,西区,72380,34392,37988,41299,2005-06-01
132,港区,83206,40751,42455,37640,2005-06-01
133,大正区,73453,36289,37164,30986,2005-06-01
134,天王寺区,63841,29696,34145,30756,2005-06-01
135,浪速区,53880,27576,26304,33933,2005-06-01
136,西淀川区,95564,47319,48245,40715,2005-06-01
137,淀川区,169154,83734,85420,85295,2005-06-01
138,東淀川区,178904,89164,89740,89526,2005-06-01
139,東成区,79059,37628,41431,36284,2005-06-01
140,生野区,138842,66255,72587,61535,2005-06-01
141,旭区,95411,45649,49762,43656,2005-06-01
142,城東区,160822,76968,83854,71394,2005-06-01
143,鶴見区,107366,51999,55367,42468,2005-06-01
144,阿倍野区,107478,49954,57524,47778,2005-06-01
145,住之江区,131069,63123,67946,54916,2005-06-01
146,住吉区,159189,74942,84247,73012,2005-06-01
147,東住吉区,135252,64162,71090,60267,2005-06-01
148,平野区,200674,95939,104735,83555,2005-06-01
149,西成区,133264,78201,55063,78945,2005-06-01
150,大阪市,2628831,1280734,1348097,1242471,2005-07-01
151,北区,99834,48144,51690,54628,2005-07-01
152,都島区,99982,48715,51267,46451,2005-07-01
153,福島区,60000,28444,31556,29129,2005-07-01
154,此花区,64029,31129,32900,27863,2005-07-01
155,中央区,66321,30726,35595,39862,2005-07-01
156,西区,72392,34397,37995,41423,2005-07-01
157,港区,83340,40811,42529,37701,2005-07-01
158,大正区,73386,36250,37136,30984,2005-07-01
159,天王寺区,63854,29697,34157,30805,2005-07-01
160,浪速区,53909,27583,26326,34053,2005-07-01
161,西淀川区,95584,47322,48262,40732,2005-07-01
162,淀川区,169225,83755,85470,85315,2005-07-01
163,東淀川区,178741,89081,89660,89503,2005-07-01
164,東成区,79064,37624,41440,36295,2005-07-01
165,生野区,138749,66210,72539,61562,2005-07-01
166,旭区,95419,45645,49774,43658,2005-07-01
167,城東区,160871,76983,83888,71413,2005-07-01
168,鶴見区,107348,51979,55369,42459,2005-07-01
169,阿倍野区,107427,49932,57495,47748,2005-07-01
170,住之江区,130989,63075,67914,54910,2005-07-01
171,住吉区,159097,74888,84209,72992,2005-07-01
172,東住吉区,135307,64184,71123,60350,2005-07-01
173,平野区,200750,95956,104794,83657,2005-07-01
174,西成区,133213,78204,55009,78978,2005-07-01
175,大阪市,2628956,1280659,1348297,1243125,2005-08-01
176,北区,99958,48202,51756,54732,2005-08-01
177,都島区,99951,48694,51257,46473,2005-08-01
178,福島区,60058,28470,31588,29181,2005-08-01
179,此花区,64028,31119,32909,27861,2005-08-01
180,中央区,66523,30820,35703,40096,2005-08-01
181,西区,72515,34455,38060,41563,2005-08-01
182,港区,83342,40805,42537,37731,2005-08-01
183,大正区,73337,36220,37117,30965,2005-08-01
184,天王寺区,63921,29723,34198,30844,2005-08-01
185,浪速区,53951,27596,26355,34116,2005-08-01
186,西淀川区,95615,47331,48284,40757,2005-08-01
187,淀川区,169281,83769,85512,85194,2005-08-01
188,東淀川区,178570,88994,89576,89446,2005-08-01
189,東成区,78985,37581,41404,36269,2005-08-01
190,生野区,138760,66216,72544,61615,2005-08-01
