,area,total,men,women,household,date
0,大阪市,2664849,1293431,1371418,1317753,2011-01-01
1,北区,110676,52975,57701,65363,2011-01-01
2,都島区,102827,49658,53169,50141,2011-01-01
3,福島区,67489,31900,35589,34456,2011-01-01
4,此花区,65644,32012,33632,29527,2011-01-01
5,中央区,78763,36891,41872,49147,2011-01-01
6,西区,83516,39496,44020,47296,2011-01-01
7,港区,84782,41668,43114,40658,2011-01-01
8,大正区,69352,34051,35301,30456,2011-01-01
9,天王寺区,70026,32409,37617,34832,2011-01-01
10,浪速区,62021,31459,30562,42601,2011-01-01
11,西淀川区,97562,48324,49238,43469,2011-01-01
12,淀川区,172041,85065,86976,91093,2011-01-01
13,東淀川区,176392,86803,89589,91661,2011-01-01
14,東成区,80082,38354,41728,38820,2011-01-01
15,生野区,133688,64066,69622,62844,2011-01-01
16,旭区,92494,44285,48209,43859,2011-01-01
17,城東区,165570,79391,86179,75880,2011-01-01
18,鶴見区,111117,53245,57872,45218,2011-01-01
19,阿倍野区,106400,49013,57387,49300,2011-01-01
20,住之江区,127097,60980,66117,56630,2011-01-01
21,住吉区,155467,73117,82350,73845,2011-01-01
22,東住吉区,130522,61796,68726,59891,2011-01-01
23,平野区,199823,94966,104857,86563,2011-01-01
24,西成区,121498,71507,49991,74203,2011-01-01
25,大阪市,2663863,1292870,1370993,1317067,2011-02-01
26,北区,110774,53043,57731,65407,2011-02-01
27,都島区,102804,49623,53181,50062,2011-02-01
28,福島区,67532,31924,35608,34448,2011-02-01
29,此花区,65639,31995,33644,29506,2011-02-01
30,中央区,78900,36988,41912,49185,2011-02-01
31,西区,83577,39519,44058,47291,2011-02-01
32,港区,84755,41658,43097,40647,2011-02-01
33,大正区,69298,34016,35282,30452,2011-02-01
34,天王寺区,70043,32420,37623,34813,2011-02-01
35,浪速区,62100,31526,30574,42676,2011-02-01
36,西淀川区,97484,48305,49179,43424,2011-02-01
37,淀川区,171964,84999,86965,91018,2011-02-01
38,東淀川区,176281,86734,89547,91617,2011-02-01
39,東成区,80057,38339,41718,38783,2011-02-01
40,生野区,133594,64050,69544,62825,2011-02-01
41,旭区,92457,44253,48204,43823,2011-02-01
42,城東区,165483,79331,86152,75813,2011-02-01
43,鶴見区,111100,53237,57863,45191,2011-02-01
44,阿倍野区,106253,48970,57283,49251,2011-02-01
45,住之江区,127066,60958,66108,56610,2011-02-01
46,住吉区,155322,73034,82288,73757,2011-02-01
47,東住吉区,130358,61701,68657,59803,2011-02-01
48,平野区,199772,94905,104867,86585,2011-02-01
49,西成区,121250,71342,49908,74080,2011-02-01
50,大阪市,2663098,1292432,1370666,1316626,2011-03-01
51,北区,110952,53137,57815,65396,2011-03-01
52,都島区,102852,49680,53172,50066,2011-03-01
53,福島区,67554,31922,35632,34430,2011-03-01
54,此花区,65654,32005,33649,29517,2011-03-01
55,中央区,79108,37065,42043,49378,2011-03-01
56,西区,83639,39537,44102,47302,2011-03-01
57,港区,84719,41617,43102,40633,2011-03-01
58,大正区,69169,33942,35227,30424,2011-03-01
59,天王寺区,70027,32415,37612,34783,2011-03-01
60,浪速区,62088,31501,30587,42687,2011-03-01
61,西淀川区,97431,48276,49155,43401,2011-03-01
62,淀川区,171811,84927,86884,90922,2011-03-01
63,東淀川区,176215,86699,89516,91562,2011-03-01
64,東成区,80042,38323,41719,38780,2011-03-01
65,生野区,133494,64055,69439,62811,2011-03-01
66,旭区,92378,44233,48145,43775,2011-03-01
67,城東区,165455,79314,86141,75752,2011-03-01
68,鶴見区,111066,53211,57855,45175,2011-03-01
69,阿倍野区,106187,48936,57251,49267,2011-03-01
70,住之江区,126955,60889,66066,56546,2011-03-01
71,住吉区,155223,72969,82254,73680,2011-03-01
72,東住吉区,130257,61648,68609,59744,2011-03-01
73,平野区,199785,94912,104873,86634,2011-03-01
74,西成区,121037,71219,49818,73961,2011-03-01
75,大阪市,2663516,1292035,1371481,1319548,2011-04-01
76,北区,111212,53214,57998,65674,2011-04-01
77,都島区,102859,49666,53193,50189,2011-04-01
78,福島区,68071,32164,35907,34782,2011-04-01
79,此花区,65600,31967,33633,29568,2011-04-01
80,中央区,79596,37264,42332,49702,2011-04-01
81,西区,83863,39619,44244,47520,2011-04-01
82,港区,84633,41549,43084,40670,2011-04-01
83,大正区,68988,33833,35155,30424,2011-04-01
84,天王寺区,70235,32473,37762,34928,2011-04-01
85,浪速区,62358,31628,30730,42963,2011-04-01
86,西淀川区,97410,48270,49140,43490,2011-04-01
87,淀川区,171939,84909,87030,91169,2011-04-01
88,東淀川区,176160,86599,89561,91761,2011-04-01
89,東成区,80154,38360,41794,38929,2011-04-01
90,生野区,133306,63963,69343,62886,2011-04-01
91,旭区,92370,44223,48147,43833,2011-04-01
92,城東区,165433,79289,86144,75938,2011-04-01
93,鶴見区,110867,53099,57768,45163,2011-04-01
94,阿倍野区,106046,48832,57214,49280,2011-04-01
95,住之江区,126689,60720,65969,56504,2011-04-01
96,住吉区,155185,72921,82264,73758,2011-04-01
97,東住吉区,130091,61545,68546,59709,2011-04-01
98,平野区,199604,94821,104783,86751,2011-04-01
99,西成区,120847,71107,49740,73957,2011-04-01
100,大阪市,2667035,1293830,1373205,1322778,2011-05-01
101,北区,111672,53466,58206,66032,2011-05-01
102,都島区,102993,49725,53268,50343,2011-05-01
103,福島区,68327,32285,36042,34967,2011-05-01
104,此花区,65682,31995,33687,29636,2011-05-01
105,中央区,80133,37512,42621,50114,2011-05-01
106,西区,84154,39771,44383,47748,2011-05-01
107,港区,84549,41504,43045,40667,2011-05-01
108,大正区,68957,33804,35153,30443,2011-05-01
109,天王寺区,70466,32584,37882,35044,2011-05-01
110,浪速区,62663,31749,30914,43180,2011-05-01
111,西淀川区,97434,48298,49136,43568,2011-05-01
112,淀川区,172333,85153,87180,91481,2011-05-01
113,東淀川区,176525,86755,89770,92024,2011-05-01
114,東成区,80344,38463,41881,39068,2011-05-01
115,生野区,133248,63966,69282,63002,2011-05-01
116,旭区,92371,44189,48182,43868,2011-05-01
117,城東区,165501,79359,86142,76045,2011-05-01
118,鶴見区,110840,53104,57736,45169,2011-05-01
119,阿倍野区,106185,48904,57281,49411,2011-05-01
120,住之江区,126692,60748,65944,56563,2011-05-01
121,住吉区,155357,72997,82360,73842,2011-05-01
122,東住吉区,130199,61626,68573,59780,2011-05-01
123,平野区,199574,94790,104784,86820,2011-05-01
124,西成区,120836,71083,49753,73963,2011-05-01
125,大阪市,2668030,1294420,1373610,1323832,2011-06-01
126,北区,111816,53533,58283,66168,2011-06-01
127,都島区,103103,49761,53342,50379,2011-06-01
128,福島区,68548,32402,36146,35112,2011-06-01
129,此花区,65688,32020,33668,29651,2011-06-01
130,中央区,80405,37678,42727,50358,2011-06-01
131,西区,84302,39867,44435,47859,2011-06-01
132,港区,84567,41507,43060,40612,2011-06-01
133,大正区,68925,33780,35145,30430,2011-06-01
134,天王寺区,70612,32681,37931,35102,2011-06-01
135,浪速区,62761,31801,30960,43232,2011-06-01
136,西淀川区,97442,48308,49134,43531,2011-06-01
137,淀川区,172549,85289,87260,91601,2011-06-01
138,東淀川区,176495,86805,89690,92070,2011-06-01
139,東成区,80393,38480,41913,39099,2011-06-01
140,生野区,133071,63904,69167,63000,2011-06-01
141,旭区,92354,44179,48175,43910,2011-06-01
142,城東区,165468,79314,86154,76042,2011-06-01
143,鶴見区,110799,53064,57735,45149,2011-06-01
144,阿倍野区,106226,48908,57318,49460,2011-06-01
145,住之江区,126746,60776,65970,56599,2011-06-01
146,住吉区,155355,73004,82351,73832,2011-06-01
147,東住吉区,130143,61609,68534,59786,2011-06-01
148,平野区,199567,94793,104774,86871,2011-06-01
149,西成区,120695,70957,49738,73979,2011-06-01
150,大阪市,2668460,1294555,1373905,1324296,2011-07-01
151,北区,112000,53629,58371,66299,2011-07-01
152,都島区,103136,49757,53379,50390,2011-07-01
153,福島区,68737,32487,36250,35217,2011-07-01
154,此花区,65662,32004,33658,29644,2011-07-01
155,中央区,80666,37802,42864,50543,2011-07-01
156,西区,84384,39929,44455,47905,2011-07-01
157,港区,84564,41486,43078,40627,2011-07-01
158,大正区,68806,33716,35090,30349,2011-07-01
159,天王寺区,70663,32714,37949,35161,2011-07-01
160,浪速区,62794,31827,30967,43262,2011-07-01
161,西淀川区,97442,48296,49146,43554,2011-07-01
162,淀川区,172559,85298,87261,91616,2011-07-01
163,東淀川区,176671,86895,89776,92115,2011-07-01
164,東成区,80487,38522,41965,39159,2011-07-01
165,生野区,133057,63893,69164,63014,2011-07-01
166,旭区,92285,44135,48150,43879,2011-07-01
167,城東区,165402,79302,86100,76029,2011-07-01
168,鶴見区,110835,53050,57785,45159,2011-07-01
169,阿倍野区,106175,48880,57295,49446,2011-07-01
170,住之江区,126615,60707,65908,56537,2011-07-01
171,住吉区,155360,73008,82352,73776,2011-07-01
172,東住吉区,129978,61522,68456,59706,2011-07-01
173,平野区,199602,94818,104784,86941,2011-07-01
174,西成区,120580,70878,49702,73968,2011-07-01
175,大阪市,2668330,1294504,1373826,1324471,2011-08-01
176,北区,112214,53737,58477,66437,2011-08-01
177,都島区,103105,49736,53369,50358,2011-08-01
178,福島区,68810,32543,36267,35232,2011-08-01
179,此花区,65671,32003,33668,29655,2011-08-01
180,中央区,80796,37891,42905,50690,2011-08-01
181,西区,84444,39956,44488,47873,2011-08-01
182,港区,84488,41448,43040,40613,2011-08-01
183,大正区,68771,33690,35081,30340,2011-08-01
184,天王寺区,70656,32732,37924,35192,2011-08-01
185,浪速区,62883,31883,31000,43301,2011-08-01
186,西淀川区,97389,48283,49106,43535,2011-08-01
187,淀川区,172510,85277,87233,91605,2011-08-01
188,東淀川区,176669,86896,89773,92107,2011-08-01
189,東成区,80451,38526,41925,39124,2011-08-01
190,生野区,132971,63882,69089,63022,2011-08-01
191,旭区,92241,44095,48146,43855,2011-08-01
