,area,total,men,women,household,date
0,大阪市,2599115,1272942,1326173,1171244,2001-01-01
1,北区,92105,44512,47593,47349,2001-01-01
2,都島区,97327,47743,49584,43307,2001-01-01
3,福島区,56091,26692,29399,25373,2001-01-01
4,此花区,64881,32072,32809,27098,2001-01-01
5,中央区,55505,25722,29783,29473,2001-01-01
6,西区,63846,30347,33499,30810,2001-01-01
7,港区,86930,42936,43994,37868,2001-01-01
8,大正区,74906,37328,37578,30907,2001-01-01
9,天王寺区,58926,27664,31262,26949,2001-01-01
10,浪速区,50454,26220,24234,29860,2001-01-01
11,西淀川区,92726,46258,46468,38738,2001-01-01
12,淀川区,163271,81519,81752,80270,2001-01-01
13,東淀川区,183502,91555,91947,88376,2001-01-01
14,東成区,78685,37770,40915,34343,2001-01-01
15,生野区,142451,67962,74489,59684,2001-01-01
16,旭区,99080,47821,51259,44343,2001-01-01
17,城東区,157843,75992,81851,68361,2001-01-01
18,鶴見区,102195,50100,52095,39141,2001-01-01
19,阿倍野区,104156,48354,55802,45648,2001-01-01
20,住之江区,135147,65595,69552,54279,2001-01-01
21,住吉区,161180,76450,84730,72339,2001-01-01
22,東住吉区,139266,66332,72934,60252,2001-01-01
23,平野区,201854,97497,104357,81138,2001-01-01
24,西成区,136788,78501,58287,75338,2001-01-01
25,大阪市,2598942,1272743,1326199,1171670,2001-02-01
26,北区,92198,44555,47643,47422,2001-02-01
27,都島区,97352,47750,49602,43315,2001-02-01
28,福島区,56104,26696,29408,25390,2001-02-01
29,此花区,64904,32074,32830,27110,2001-02-01
30,中央区,55681,25804,29877,29648,2001-02-01
31,西区,63930,30387,33543,30944,2001-02-01
32,港区,87009,42969,44040,37869,2001-02-01
33,大正区,74808,37273,37535,30850,2001-02-01
34,天王寺区,58946,27669,31277,26988,2001-02-01
35,浪速区,50421,26195,24226,29889,2001-02-01
36,西淀川区,92689,46233,46456,38719,2001-02-01
37,淀川区,163270,81505,81765,80288,2001-02-01
38,東淀川区,183341,91473,91868,88287,2001-02-01
39,東成区,78624,37735,40889,34336,2001-02-01
40,生野区,142388,67933,74455,59717,2001-02-01
41,旭区,98954,47752,51202,44275,2001-02-01
42,城東区,157749,75938,81811,68327,2001-02-01
43,鶴見区,102597,50285,52312,39276,2001-02-01
44,阿倍野区,104074,48317,55757,45610,2001-02-01
45,住之江区,135263,65642,69621,54338,2001-02-01
46,住吉区,161030,76368,84662,72268,2001-02-01
47,東住吉区,139100,66248,72852,60225,2001-02-01
48,平野区,201785,97444,104341,81133,2001-02-01
49,西成区,136725,78498,58227,75446,2001-02-01
50,大阪市,2598864,1272586,1326278,1172259,2001-03-01
51,北区,92266,44586,47680,47511,2001-03-01
52,都島区,97401,47768,49633,43339,2001-03-01
53,福島区,56115,26700,29415,25410,2001-03-01
54,此花区,64914,32069,32845,27153,2001-03-01
55,中央区,55744,25833,29911,29776,2001-03-01
56,西区,63925,30385,33540,31032,2001-03-01
57,港区,87000,42957,44043,37852,2001-03-01
58,大正区,74779,37253,37526,30856,2001-03-01
59,天王寺区,59019,27698,31321,27036,2001-03-01
60,浪速区,50485,26221,24264,29950,2001-03-01
61,西淀川区,92659,46211,46448,38729,2001-03-01
62,淀川区,163303,81509,81794,80322,2001-03-01
63,東淀川区,183201,91401,91800,88241,2001-03-01
64,東成区,78582,37709,40873,34342,2001-03-01
65,生野区,142311,67896,74415,59742,2001-03-01
66,旭区,98809,47674,51135,44219,2001-03-01
67,城東区,157885,75995,81890,68401,2001-03-01
68,鶴見区,102687,50318,52369,39313,2001-03-01
69,阿倍野区,104201,48377,55824,45579,2001-03-01
70,住之江区,135205,65604,69601,54367,2001-03-01
71,住吉区,160912,76301,84611,72209,2001-03-01
72,東住吉区,139006,66198,72808,60197,2001-03-01
73,平野区,201807,97436,104371,81142,2001-03-01
74,西成区,136648,78487,58161,75541,2001-03-01
75,大阪市,2598242,1272166,1326076,1174546,2001-04-01
76,北区,92414,44656,47758,47722,2001-04-01
77,都島区,97674,47896,49778,43589,2001-04-01
78,福島区,56155,26717,29438,25510,2001-04-01
79,此花区,64869,32037,32832,27173,2001-04-01
80,中央区,55958,25932,30026,29924,2001-04-01
81,西区,64007,30423,33584,31233,2001-04-01
82,港区,86893,42898,43995,37924,2001-04-01
83,大正区,74603,37159,37444,30816,2001-04-01
84,天王寺区,59210,27783,31427,27168,2001-04-01
85,浪速区,50540,26242,24298,29924,2001-04-01
86,西淀川区,92760,46255,46505,38873,2001-04-01
87,淀川区,163455,81571,81884,80673,2001-04-01
88,東淀川区,182846,91222,91624,88368,2001-04-01
89,東成区,78670,37745,40925,34478,2001-04-01
90,生野区,142078,67785,74293,59685,2001-04-01
91,旭区,98706,47617,51089,44159,2001-04-01
92,城東区,157699,75897,81802,68457,2001-04-01
93,鶴見区,102727,50326,52401,39413,2001-04-01
94,阿倍野区,104336,48441,55895,45633,2001-04-01
95,住之江区,134843,65419,69424,54346,2001-04-01
96,住吉区,160808,76241,84567,72297,2001-04-01
97,東住吉区,138758,66075,72683,60188,2001-04-01
98,平野区,201601,97318,104283,81238,2001-04-01
99,西成区,136632,78511,58121,75755,2001-04-01
100,大阪市,2603661,1274681,1328980,1180196,2001-05-01
101,北区,92975,44925,48050,48209,2001-05-01
102,都島区,97948,48024,49924,43826,2001-05-01
103,福島区,56347,26806,29541,25745,2001-05-01
104,此花区,64833,32010,32823,27220,2001-05-01
105,中央区,56662,26258,30404,30475,2001-05-01
106,西区,64270,30548,33722,31538,2001-05-01
107,港区,86897,42893,44004,38040,2001-05-01
108,大正区,74585,37144,37441,30864,2001-05-01
109,天王寺区,59566,27945,31621,27393,2001-05-01
110,浪速区,50795,26367,24428,30164,2001-05-01
111,西淀川区,93189,46463,46726,39130,2001-05-01
112,淀川区,164061,81861,82200,81207,2001-05-01
113,東淀川区,183129,91361,91768,88787,2001-05-01
114,東成区,78687,37747,40940,34554,2001-05-01
115,生野区,142137,67814,74323,59785,2001-05-01
116,旭区,98822,47665,51157,44324,2001-05-01
117,城東区,157854,75963,81891,68682,2001-05-01
118,鶴見区,103042,50469,52573,39602,2001-05-01
119,阿倍野区,104662,48593,56069,45934,2001-05-01
120,住之江区,134768,65373,69395,54444,2001-05-01
121,住吉区,160947,76296,84651,72483,2001-05-01
122,東住吉区,138947,66160,72787,60312,2001-05-01
123,平野区,201859,97424,104435,81478,2001-05-01
124,西成区,136679,78572,58107,76000,2001-05-01
125,大阪市,2605170,1275310,1329860,1182384,2001-06-01
126,北区,93131,44999,48132,48400,2001-06-01
127,都島区,98025,48056,49969,43936,2001-06-01
128,福島区,56408,26833,29575,25865,2001-06-01
129,此花区,64853,32010,32843,27240,2001-06-01
130,中央区,56905,26371,30534,30706,2001-06-01
131,西区,64433,30625,33808,31708,2001-06-01
132,港区,86878,42877,44001,38067,2001-06-01
133,大正区,74464,37078,37386,30876,2001-06-01
134,天王寺区,59584,27949,31635,27413,2001-06-01
135,浪速区,50900,26414,24486,30289,2001-06-01
136,西淀川区,93225,46474,46751,39165,2001-06-01
137,淀川区,164240,81937,82303,81385,2001-06-01
138,東淀川区,183062,91326,91736,88846,2001-06-01
139,東成区,78753,37773,40980,34594,2001-06-01
140,生野区,142120,67806,74314,59869,2001-06-01
141,旭区,98712,47604,51108,44324,2001-06-01
142,城東区,157916,75985,81931,68747,2001-06-01
143,鶴見区,103270,50569,52701,39728,2001-06-01
144,阿倍野区,104702,48613,56089,46023,2001-06-01
145,住之江区,134772,65366,69406,54461,2001-06-01
146,住吉区,161119,76367,84752,72620,2001-06-01
147,東住吉区,138888,66127,72761,60329,2001-06-01
148,平野区,202036,97491,104545,81582,2001-06-01
149,西成区,136774,78660,58114,76211,2001-06-01
150,大阪市,2605126,1275169,1329957,1183737,2001-07-01
151,北区,93304,45080,48224,48531,2001-07-01
152,都島区,98064,48069,49995,44022,2001-07-01
153,福島区,56346,26802,29544,25865,2001-07-01
