,area,total,men,women,household,date
0,大阪市,2652436,1288163,1364273,1291734,2009-01-01
1,北区,106502,51083,55419,61346,2009-01-01
2,都島区,101709,49221,52488,48899,2009-01-01
3,福島区,64777,30664,34113,32442,2009-01-01
4,此花区,64869,31564,33305,28879,2009-01-01
5,中央区,73629,34305,39324,45553,2009-01-01
6,西区,79924,37752,42172,45767,2009-01-01
7,港区,84722,41550,43172,39956,2009-01-01
8,大正区,70985,34873,36112,30800,2009-01-01
9,天王寺区,67438,31197,36241,33232,2009-01-01
10,浪速区,59225,30070,29155,39438,2009-01-01
11,西淀川区,96993,48054,48939,42625,2009-01-01
12,淀川区,170623,84366,86257,88988,2009-01-01
13,東淀川区,177433,87751,89682,91520,2009-01-01
14,東成区,79412,37939,41473,37770,2009-01-01
15,生野区,135137,64627,70510,62210,2009-01-01
16,旭区,93404,44622,48782,43834,2009-01-01
17,城東区,165079,79015,86064,75116,2009-01-01
18,鶴見区,110485,53164,57321,44627,2009-01-01
19,阿倍野区,107046,49425,57621,48841,2009-01-01
20,住之江区,127712,61266,66446,55804,2009-01-01
21,住吉区,156696,73710,82986,73381,2009-01-01
22,東住吉区,132634,62819,69815,60432,2009-01-01
23,平野区,200377,95404,104973,85801,2009-01-01
24,西成区,125625,73722,51903,74473,2009-01-01
25,大阪市,2651966,1287938,1364028,1291683,2009-02-01
26,北区,106592,51144,55448,61412,2009-02-01
27,都島区,101682,49202,52480,48925,2009-02-01
28,福島区,64815,30679,34136,32455,2009-02-01
29,此花区,64834,31550,33284,28857,2009-02-01
30,中央区,73758,34408,39350,45554,2009-02-01
31,西区,80098,37827,42271,45811,2009-02-01
32,港区,84609,41489,43120,39951,2009-02-01
33,大正区,70912,34856,36056,30785,2009-02-01
34,天王寺区,67490,31218,36272,33254,2009-02-01
35,浪速区,59213,30027,29186,39519,2009-02-01
36,西淀川区,97026,48049,48977,42674,2009-02-01
37,淀川区,170682,84356,86326,88996,2009-02-01
38,東淀川区,177260,87660,89600,91498,2009-02-01
39,東成区,79321,37906,41415,37742,2009-02-01
40,生野区,135033,64561,70472,62206,2009-02-01
41,旭区,93340,44598,48742,43787,2009-02-01
42,城東区,164998,78996,86002,75026,2009-02-01
43,鶴見区,110642,53234,57408,44682,2009-02-01
44,阿倍野区,107019,49394,57625,48834,2009-02-01
45,住之江区,127688,61282,66406,55805,2009-02-01
46,住吉区,156592,73660,82932,73346,2009-02-01
47,東住吉区,132491,62780,69711,60360,2009-02-01
48,平野区,200443,95435,105008,85767,2009-02-01
49,西成区,125428,73627,51801,74437,2009-02-01
50,大阪市,2651781,1287847,1363934,1292153,2009-03-01
51,北区,106606,51131,55475,61483,2009-03-01
52,都島区,101638,49168,52470,48929,2009-03-01
53,福島区,64923,30704,34219,32513,2009-03-01
54,此花区,64808,31527,33281,28862,2009-03-01
55,中央区,73889,34499,39390,45623,2009-03-01
56,西区,80173,37860,42313,45778,2009-03-01
57,港区,84635,41504,43131,39972,2009-03-01
58,大正区,70875,34842,36033,30803,2009-03-01
59,天王寺区,67480,31224,36256,33263,2009-03-01
60,浪速区,59339,30102,29237,39671,2009-03-01
61,西淀川区,96938,48016,48922,42671,2009-03-01
62,淀川区,170722,84366,86356,89043,2009-03-01
63,東淀川区,177185,87607,89578,91447,2009-03-01
64,東成区,79334,37922,41412,37772,2009-03-01
65,生野区,134976,64550,70426,62186,2009-03-01
66,旭区,93262,44587,48675,43781,2009-03-01
67,城東区,165044,79034,86010,75050,2009-03-01
68,鶴見区,110718,53266,57452,44721,2009-03-01
69,阿倍野区,106980,49365,57615,48810,2009-03-01
70,住之江区,127635,61244,66391,55845,2009-03-01
71,住吉区,156548,73634,82914,73370,2009-03-01
72,東住吉区,132341,62688,69653,60310,2009-03-01
73,平野区,200459,95440,105019,85785,2009-03-01
74,西成区,125273,73567,51706,74465,2009-03-01
75,大阪市,2652906,1287773,1365133,1296066,2009-04-01
76,北区,106856,51191,55665,61883,2009-04-01
77,都島区,101670,49134,52536,49063,2009-04-01
78,福島区,65073,30785,34288,32676,2009-04-01
79,此花区,64713,31474,33239,28833,2009-04-01
80,中央区,74525,34833,39692,46138,2009-04-01
81,西区,80440,37959,42481,46001,2009-04-01
82,港区,84774,41540,43234,40187,2009-04-01
83,大正区,70735,34793,35942,30796,2009-04-01
84,天王寺区,67708,31325,36383,33432,2009-04-01
85,浪速区,59644,30267,29377,39942,2009-04-01
86,西淀川区,97019,48048,48971,42899,2009-04-01
87,淀川区,170935,84447,86488,89466,2009-04-01
88,東淀川区,177102,87512,89590,91671,2009-04-01
89,東成区,79468,37939,41529,37884,2009-04-01
90,生野区,134930,64501,70429,62352,2009-04-01
91,旭区,93118,44535,48583,43772,2009-04-01
92,城東区,165484,79204,86280,75387,2009-04-01
93,鶴見区,110585,53161,57424,44788,2009-04-01
94,阿倍野区,106792,49221,57571,48841,2009-04-01
95,住之江区,127532,61150,66382,55941,2009-04-01
96,住吉区,156292,73437,82855,73396,2009-04-01
97,東住吉区,132188,62586,69602,60310,2009-04-01
98,平野区,200203,95249,104954,85807,2009-04-01
99,西成区,125120,73482,51638,74601,2009-04-01
100,大阪市,2657309,1290124,1367185,1300054,2009-05-01
101,北区,107235,51398,55837,62267,2009-05-01
102,都島区,101916,49293,52623,49262,2009-05-01
103,福島区,65335,30904,34431,32826,2009-05-01
104,此花区,64693,31466,33227,28836,2009-05-01
105,中央区,75331,35253,40078,46625,2009-05-01
106,西区,80683,38105,42578,46176,2009-05-01
107,港区,84950,41618,43332,40337,2009-05-01
108,大正区,70697,34781,35916,30791,2009-05-01
109,天王寺区,68013,31462,36551,33644,2009-05-01
110,浪速区,59984,30405,29579,40185,2009-05-01
111,西淀川区,97161,48148,49013,43081,2009-05-01
112,淀川区,171370,84657,86713,89815,2009-05-01
113,東淀川区,177287,87577,89710,91894,2009-05-01
114,東成区,79579,38008,41571,38017,2009-05-01
115,生野区,135051,64587,70464,62483,2009-05-01
116,旭区,93110,44564,48546,43846,2009-05-01
117,城東区,165692,79328,86364,75532,2009-05-01
118,鶴見区,110720,53209,57511,44872,2009-05-01
119,阿倍野区,106949,49281,57668,49008,2009-05-01
120,住之江区,127647,61266,66381,56066,2009-05-01
121,住吉区,156397,73494,82903,73516,2009-05-01
122,東住吉区,132149,62538,69611,60335,2009-05-01
123,平野区,200215,95267,104948,85895,2009-05-01
