,area,total,men,women,household,date
0,大阪市,2619736,1278731,1341005,1220219,2004-01-01
1,北区,96761,46695,50066,51926,2004-01-01
2,都島区,98904,48299,50605,45362,2004-01-01
3,福島区,58587,27810,30777,27916,2004-01-01
4,此花区,64539,31552,32987,27850,2004-01-01
5,中央区,62190,28815,33375,35891,2004-01-01
6,西区,69290,32927,36363,37626,2004-01-01
7,港区,84146,41324,42822,37726,2004-01-01
8,大正区,74020,36671,37349,31194,2004-01-01
9,天王寺区,61496,28690,32806,28992,2004-01-01
10,浪速区,52905,27210,25695,32846,2004-01-01
11,西淀川区,94870,47088,47782,40217,2004-01-01
12,淀川区,167647,83218,84429,84184,2004-01-01
13,東淀川区,180791,90136,90655,89292,2004-01-01
14,東成区,78790,37603,41187,35652,2004-01-01
15,生野区,140074,66838,73236,60863,2004-01-01
16,旭区,96872,46479,50393,43890,2004-01-01
17,城東区,159714,76584,83130,70334,2004-01-01
18,鶴見区,105782,51433,54349,41271,2004-01-01
19,阿倍野区,106050,49272,56778,46897,2004-01-01
20,住之江区,132010,63735,68275,54595,2004-01-01
21,住吉区,160256,75626,84630,73084,2004-01-01
22,東住吉区,136942,65048,71894,60591,2004-01-01
23,平野区,201344,96577,104767,82818,2004-01-01
24,西成区,135756,79101,56655,79202,2004-01-01
25,大阪市,2619306,1278401,1340905,1220535,2004-02-01
26,北区,96739,46683,50056,51960,2004-02-01
27,都島区,99060,48369,50691,45445,2004-02-01
28,福島区,58594,27811,30783,27920,2004-02-01
29,此花区,64562,31554,33008,27876,2004-02-01
30,中央区,62295,28864,33431,36045,2004-02-01
31,西区,69458,33007,36451,37785,2004-02-01
32,港区,83962,41227,42735,37677,2004-02-01
33,大正区,73975,36643,37332,31163,2004-02-01
34,天王寺区,61546,28709,32837,29010,2004-02-01
35,浪速区,52952,27227,25725,32895,2004-02-01
36,西淀川区,94869,47081,47788,40233,2004-02-01
37,淀川区,167659,83210,84449,84186,2004-02-01
38,東淀川区,180578,90028,90550,89167,2004-02-01
39,東成区,78756,37581,41175,35664,2004-02-01
40,生野区,139967,66787,73180,60890,2004-02-01
41,旭区,96804,46438,50366,43866,2004-02-01
42,城東区,159694,76566,83128,70308,2004-02-01
43,鶴見区,105888,51473,54415,41328,2004-02-01
44,阿倍野区,106040,49269,56771,46903,2004-02-01
45,住之江区,131961,63702,68259,54624,2004-02-01
46,住吉区,160158,75569,84589,73032,2004-02-01
47,東住吉区,136846,64997,71849,60538,2004-02-01
48,平野区,201282,96528,104754,82821,2004-02-01
49,西成区,135661,79078,56583,79199,2004-02-01
50,大阪市,2618916,1278084,1340832,1220884,2004-03-01
51,北区,96820,46720,50100,52053,2004-03-01
52,都島区,99062,48364,50698,45459,2004-03-01
53,福島区,58642,27832,30810,27976,2004-03-01
54,此花区,64533,31530,33003,27859,2004-03-01
55,中央区,62500,28958,33542,36129,2004-03-01
56,西区,69528,33040,36488,37916,2004-03-01
57,港区,83915,41197,42718,37673,2004-03-01
58,大正区,73977,36638,37339,31156,2004-03-01
59,天王寺区,61601,28729,32872,29048,2004-03-01
60,浪速区,52977,27232,25745,32968,2004-03-01
61,西淀川区,94841,47061,47780,40224,2004-03-01
62,淀川区,167635,83185,84450,84168,2004-03-01
63,東淀川区,180341,89908,90433,89041,2004-03-01
64,東成区,78839,37614,41225,35740,2004-03-01
65,生野区,139977,66792,73185,60961,2004-03-01
66,旭区,96701,46381,50320,43798,2004-03-01
67,城東区,159617,76520,83097,70263,2004-03-01
68,鶴見区,105901,51467,54434,41353,2004-03-01
69,阿倍野区,106105,49300,56805,46929,2004-03-01
70,住之江区,131816,63623,68193,54558,2004-03-01
71,住吉区,160121,75541,84580,72997,2004-03-01
72,東住吉区,136709,64927,71782,60501,2004-03-01
73,平野区,201162,96452,104710,82817,2004-03-01
74,西成区,135596,79073,56523,79297,2004-03-01
75,大阪市,2619623,1278297,1341326,1223794,2004-04-01
76,北区,97112,46859,50253,52365,2004-04-01
77,都島区,99098,48375,50723,45598,2004-04-01
78,福島区,58752,27882,30870,28104,2004-04-01
79,此花区,64552,31529,33023,27954,2004-04-01
80,中央区,63002,29191,33811,36469,2004-04-01
81,西区,69661,33103,36558,38130,2004-04-01
82,港区,83822,41145,42677,37710,2004-04-01
83,大正区,73937,36612,37325,31133,2004-04-01
84,天王寺区,61858,28844,33014,29259,2004-04-01
85,浪速区,53098,27286,25812,33118,2004-04-01
86,西淀川区,95160,47212,47948,40450,2004-04-01
87,淀川区,167825,83265,84560,84386,2004-04-01
88,東淀川区,180116,89794,90322,89248,2004-04-01
89,東成区,78915,37644,41271,35786,2004-04-01
90,生野区,139936,66773,73163,61038,2004-04-01
91,旭区,96482,46269,50213,43812,2004-04-01
92,城東区,159677,76540,83137,70458,2004-04-01
93,鶴見区,105973,51490,54483,41469,2004-04-01
94,阿倍野区,106224,49356,56868,47004,2004-04-01
95,住之江区,131704,63560,68144,54715,2004-04-01
96,住吉区,159809,75383,84426,73031,2004-04-01
97,東住吉区,136450,64799,71651,60386,2004-04-01
98,平野区,200973,96343,104630,82856,2004-04-01
99,西成区,135487,79043,56444,79315,2004-04-01
100,大阪市,2625046,1280801,1344245,1228415,2004-05-01
101,北区,97654,47119,50535,52759,2004-05-01
102,都島区,99356,48495,50861,45767,2004-05-01
103,福島区,59103,28047,31056,28385,2004-05-01
104,此花区,64654,31569,33085,28044,2004-05-01
105,中央区,63552,29446,34106,36913,2004-05-01
106,西区,69958,33244,36714,38466,2004-05-01
107,港区,83930,41192,42738,37804,2004-05-01
108,大正区,73965,36620,37345,31167,2004-05-01
109,天王寺区,62215,29006,33209,29503,2004-05-01
110,浪速区,53349,27407,25942,33235,2004-05-01
111,西淀川区,95444,47347,48097,40604,2004-05-01
112,淀川区,168227,83451,84776,84715,2004-05-01
113,東淀川区,180499,89983,90516,89576,2004-05-01
114,東成区,79065,37710,41355,35936,2004-05-01
115,生野区,140047,66826,73221,61181,2004-05-01
116,旭区,96545,46291,50254,43917,2004-05-01
117,城東区,159935,76655,83280,70666,2004-05-01
118,鶴見区,106022,51502,54520,41572,2004-05-01
119,阿倍野区,106539,49504,57035,47230,2004-05-01
120,住之江区,131895,63642,68253,54889,2004-05-01
121,住吉区,159965,75446,84519,73173,2004-05-01
122,東住吉区,136416,64778,71638,60479,2004-05-01
123,平野区,201220,96443,104777,83006,2004-05-01
124,西成区,135491,79078,56413,79428,2004-05-01
125,大阪市,2626322,1281299,1345023,1230032,2004-06-01
126,北区,97958,47264,50694,52980,2004-06-01
127,都島区,99430,48525,50905,45854,2004-06-01
128,福島区,59149,28067,31082,28449,2004-06-01
129,此花区,64683,31574,33109,28048,2004-06-01
130,中央区,63747,29536,34211,37067,2004-06-01
131,西区,70168,33343,36825,38675,2004-06-01
132,港区,83911,41176,42735,37785,2004-06-01
133,大正区,74025,36644,37381,31202,2004-06-01
134,天王寺区,62236,29010,33226,29544,2004-06-01
135,浪速区,53383,27417,25966,33295,2004-06-01
136,西淀川区,95636,47435,48201,40723,2004-06-01
137,淀川区,168250,83449,84801,84787,2004-06-01
138,東淀川区,180557,90010,90547,89686,2004-06-01
139,東成区,79151,37745,41406,36033,2004-06-01
140,生野区,140040,66823,73217,61208,2004-06-01
141,旭区,96560,46291,50269,43952,2004-06-01
142,城東区,159986,76671,83315,70733,2004-06-01
143,鶴見区,106130,51543,54587,41626,2004-06-01
144,阿倍野区,106566,49517,57049,47245,2004-06-01
145,住之江区,131908,63639,68269,54990,2004-06-01
146,住吉区,159897,75403,84494,73146,2004-06-01
147,東住吉区,136318,64727,71591,60444,2004-06-01
148,平野区,201222,96425,104797,83055,2004-06-01
149,西成区,135411,79065,56346,79505,2004-06-01
150,大阪市,2627049,1281523,1345526,1231164,2004-07-01
151,北区,98023,47293,50730,53057,2004-07-01
152,都島区,99462,48535,50927,45870,2004-07-01
153,福島区,59234,28105,31129,28509,2004-07-01
154,此花区,64694,31569,33125,28071,2004-07-01
155,中央区,63969,29638,34331,37208,2004-07-01
156,西区,70503,33502,37001,38978,2004-07-01
157,港区,83898,41163,42735,37781,2004-07-01
158,大正区,74004,36627,37377,31228,2004-07-01
159,天王寺区,62304,29037,33267,29625,2004-07-01
160,浪速区,53394,27414,25980,33334,2004-07-01
161,西淀川区,95702,47461,48241,40746,2004-07-01
162,淀川区,168240,83431,84809,84820,2004-07-01
163,東淀川区,180502,89981,90521,89696,2004-07-01
164,東成区,79201,37763,41438,36072,2004-07-01
165,生野区,140038,66822,73216,61257,2004-07-01
166,旭区,96468,46239,50229,43919,2004-07-01
167,城東区,160085,76710,83375,70805,2004-07-01
168,鶴見区,106188,51559,54629,41652,2004-07-01
169,阿倍野区,106519,49497,57022,47233,2004-07-01
