,area,total,men,women,household,date
0,大阪市,2675108,1297146,1377962,1332018,2013-01-01
1,北区,114949,55263,59686,68459,2013-01-01
2,都島区,104308,50341,53967,50864,2013-01-01
3,福島区,70365,33175,37190,36083,2013-01-01
4,此花区,66572,32448,34124,30064,2013-01-01
5,中央区,83541,39169,44372,52644,2013-01-01
6,西区,86510,40883,45627,48980,2013-01-01
7,港区,83289,40822,42467,40294,2013-01-01
8,大正区,67429,33013,34416,29851,2013-01-01
9,天王寺区,72780,33826,38954,36289,2013-01-01
10,浪速区,64945,32975,31970,44371,2013-01-01
11,西淀川区,96849,47821,49028,43330,2013-01-01
12,淀川区,173422,85877,87545,92134,2013-01-01
13,東淀川区,177056,87162,89894,92395,2013-01-01
14,東成区,80687,38666,42021,39337,2013-01-01
15,生野区,132068,63389,68679,63147,2013-01-01
16,旭区,92001,43988,48013,43704,2013-01-01
17,城東区,164634,78760,85874,75776,2013-01-01
18,鶴見区,111485,53384,58101,45664,2013-01-01
19,阿倍野区,106504,49058,57446,49688,2013-01-01
20,住之江区,125761,60367,65394,56872,2013-01-01
21,住吉区,154792,72580,82212,72923,2013-01-01
22,東住吉区,128375,60771,67604,58802,2013-01-01
23,平野区,199048,94447,104601,87577,2013-01-01
24,西成区,117738,68961,48777,72770,2013-01-01
25,大阪市,2674661,1296833,1377828,1331420,2013-02-01
26,北区,115097,55320,59777,68471,2013-02-01
27,都島区,104290,50318,53972,50799,2013-02-01
28,福島区,70373,33178,37195,36068,2013-02-01
29,此花区,66573,32454,34119,30065,2013-02-01
30,中央区,83656,39207,44449,52730,2013-02-01
31,西区,86588,40949,45639,48985,2013-02-01
32,港区,83237,40802,42435,40256,2013-02-01
33,大正区,67397,32970,34427,29832,2013-02-01
34,天王寺区,72783,33851,38932,36310,2013-02-01
35,浪速区,65085,33060,32025,44449,2013-02-01
36,西淀川区,96788,47779,49009,43290,2013-02-01
37,淀川区,173439,85885,87554,92120,2013-02-01
38,東淀川区,176990,87121,89869,92315,2013-02-01
39,東成区,80644,38649,41995,39328,2013-02-01
40,生野区,132042,63363,68679,63117,2013-02-01
41,旭区,91944,43961,47983,43671,2013-02-01
42,城東区,164531,78701,85830,75723,2013-02-01
43,鶴見区,111518,53391,58127,45669,2013-02-01
44,阿倍野区,106456,49029,57427,49664,2013-02-01
45,住之江区,125650,60307,65343,56849,2013-02-01
46,住吉区,154784,72576,82208,72800,2013-02-01
47,東住吉区,128231,60706,67525,58682,2013-02-01
48,平野区,198939,94377,104562,87547,2013-02-01
49,西成区,117626,68879,48747,72680,2013-02-01
50,大阪市,2673891,1296296,1377595,1330970,2013-03-01
